id,idiom,meaning,example,relevance
1403,Keep your chin up,Stay positive and optimistic,"Don't worry, keep your chin up, things will get better, said my mom.",4 class
1404,Knock on wood,Hoping to avoid bad luck,"I haven't been sick this year, knock on wood, said my friend.",4 class
1405,Like a fish out of water,Feeling uncomfortable or out of place,I felt like a fish out of water when I visited a new school.,4 class
1406,Long in the tooth,Old or aged,"My grandma is long in the tooth, she's over 90 years old.",4 class
1407,Mad as a hatter,Extremely crazy or irrational,"The character in the book was mad as a hatter, he did crazy things.",4 class
1408,On the fence,Unable to make a decision,I was on the fence about what to eat for dinner.,4 class
1409,Over the moon,Extremely happy or excited,I was over the moon when I found out I won first place in the art contest.,4 class
1410,Red as a tomato,Blushing or embarrassed,My friend turned red as a tomato when she got called on in class.,4 class
1411,Rough around the edges,Not polished or refined,"The new student was rough around the edges, but she had a good heart.",4 class
1412,Sick as a dog,Extremely sick or ill,I caught a cold and felt sick as a dog.,4 class
1413,Silver-tongued,Persuasive or charming in speech,"The salesman was silver-tongued, he could sell anything to anyone.",4 class
1414,Sleeping like a baby,Sleeping soundly and peacefully,"After a long day, I fell asleep and was sleeping like a baby.",4 class
1415,Straight as an arrow,Very honest or direct,"My dad is always straight as an arrow, he never lies.",4 class
1416,Sweet as honey,Very kind or pleasant,"My teacher is sweet as honey, she's always nice to everyone.",4 class
1417,All or nothing,To either do everything to succeed or to abandon the goal entirely,I told my team it's all or nothing if we want to win the game.,4 class
1418,As long as,"Provided that, given that",I'll lend you my bike as long as you promise to take good care of it.,4 class
1419,Come rain or shine,No matter what happens or what the weather is like,We'll be there for the picnic come rain or shine.,4 class
1420,Neither here nor there,Not relevant or important,"I know you don't like the color of the wall, but it's neither here nor there.",4 class
1421,By and large,"Generally, mostly","By and large, people in this town are friendly and welcoming.",4 class
1422,More or less,"Approximately, almost",The meeting will take more or less an hour to complete.,4 class
1423,Neither fish nor fowl,Something that is not easily categorized or defined,"This new product is neither fish nor fowl, and we're not sure how to market it.",4 class
1424,On and off,"Intermittently, not continuously",I've been working on this project on and off for the past few months.,4 class
1425,Through thick and thin,Through good times and bad times,My best friend has always been there for me through thick and thin.,4 class
1426,In order to,With the intention or purpose of,I need to study hard in order to pass my exam.,4 class
1427,In case,In the event that something happens,I'm taking an umbrella with me in case it rains.,4 class
1428,In other words,"Put differently, in simpler terms","The assignment is to write a summary of the book, in other words, to condense the content.",4 class
1429,As if,To describe a hypothetical situation that is not true or real,She talks to her plants as if they can understand her.,4 class
1430,Even though,"Despite the fact that, although","Even though it's late, I want to finish this chapter before going to bed.",4 class
1431,For good or ill,Whether it turns out to be good or bad,"We'll have to accept the outcome, for good or ill.",4 class
1432,If not,"Otherwise, or else","I need to finish this report by tomorrow, if not I'll have to work on the weekend.",4 class
1433,In any case,"Whatever the situation may be, regardless of what happens","In any case, we'll have to come up with a solution by next week.",4 class
1434,In the event,In the case that something happens,"In the event of a fire, you should evacuate the building immediately.",4 class
1435,As though,To describe a hypothetical situation that is not true or real,"He acts as though he knows everything, but he's really clueless.",4 class
1436,Not only...but also,Used to emphasize two things at once,She is not only a talented musician but also an accomplished artist.,4 class
1437,So that,With the intention or purpose of,I'm going to bed early so that I can wake up early to study.,4 class
1438,Such as,"For example, like",There are many winter sports such as skiing and ice skating.,4 class
1439,Whether or not,Regardless of whether it happens or not,I'm going to take the job offer whether or not they increase my salary.,4 class
1440,All in all,"Taking everything into consideration, overall","All in all, it was a successful event.",4 class
1441,At last,Finally,"I have been waiting for this day for a long time, and at last, it has arrived.",4 class
1442,Last straw,The final problem or annoyance that causes a person to lose patience or give up,"He had been unhappy with his job for a while, but it was the long commute that was the last straw.",4 class
1443,Last resort,The final option that is considered when all else has failed,Going to court is the last resort when trying to settle a dispute.,4 class
1444,Last-ditch effort,"A final, desperate attempt to achieve a goal","The team made a last-ditch effort to score a goal, but it was too late.",4 class
1445,Last hurrah,A final celebration or effort before the end of something,The school's last hurrah before summer vacation was a picnic in the park.,4 class
1446,Last call,The final announcement in a bar or restaurant that signals the end of serving alcohol,The bartender shouted last call and everyone quickly ordered one more drink.,4 class
1447,Last word,The final thing said in an argument or discussion,"She always had to have the last word, no matter what.",4 class
1448,Last gasp,The final moments before something ends or dies,The last gasp of the concert was the band's most popular song.,4 class
1449,Lasting impression,A strong and lasting effect on someone,The teacher's encouragement left a lasting impression on the student.,4 class
1450,Last laugh,"To succeed or win in the end, especially after others have doubted or mocked you",The underdog team had the last laugh when they won the championship.,4 class
1451,Last man standing,The final person who remains in a competition or challenge,"After all the others had dropped out, he was the last man standing.",4 class
1452,Last but not least,"The final item on a list, but still important","We have a lot of people to thank, but last but not least, we want to thank our families.",4 class
1453,Last word in,The most advanced or up-to-date version of something,The new phone is the last word in technology.,4 class
1454,Last one in is a rotten egg,A playful phrase to encourage people to hurry up,"Hurry up, the pool is open and last one in is a rotten egg!",4 class
1455,Last lap,The final stage of a competition or project,The last lap of the race was the most exciting.,4 class
1456,Last straw that breaks the camel's back,A small problem or annoyance that becomes unbearable when added to other problems,"She had been tolerating the long commute, but the traffic jam was the last straw that broke the camel's back.",4 class
1457,Last call for (something),The final opportunity to do or get something,This is the last call for anyone who wants to sign up for the trip.,4 class
1458,Last in line,The person who is at the back of the line,He was the last in line to get his food.,4 class
1459,Last lap of luxury,The final moments of indulgence before a difficult period,She enjoyed a last lap of luxury before starting her new job.,4 class
1460,Last rites,The religious ceremonies that are performed when someone is dying or has died,The priest came to administer the last rites to the dying man.,4 class
1461,Last vestige,The final remaining part of something,The last vestige of the old building was the sign hanging above the entrance.,4 class
391,A bull in a china shop,Someone who is very clumsy or rough,"Be careful around the breakable things, you're like a bull in a china shop!",Prep Class
392,A chip off the old block,Someone who is like their parents in personality or behavior,"My son is a chip off the old block - he loves to read, just like his dad",Prep Class
393,A fish out of water,Someone who feels uncomfortable or out of place in a particular situation,"My little brother was a fish out of water at the big family dinner, he didn't know anyone",Prep Class
394,A needle in a haystack,Something that is very difficult to find,I lost my earring in the sand at the beach - it's like trying to find a needle in a haystack,Prep Class
395,A picture is worth a thousand words,A picture can convey a lot of information or emotion,Look at this painting of the ocean - it's like a picture is worth a thousand words,Prep Class
396,All dressed up and nowhere to go,To be ready for something but have no plans or opportunity to do it,"I put on my princess dress, but then my friend cancelled our playdate - I'm all dressed up and nowhere to go!",Prep Class
397,All thumbs,To be clumsy or awkward with your hands,My little sister is all thumbs when it comes to tying her shoes,Prep Class
398,Apple of my eye,Someone or something that is very special to you,"My grandma is the apple of my eye, I love spending time with her",Prep Class
399,Back to the drawing board,To start over again from the beginning,"I thought my drawing was finished, but then I made a mistake and had to go back to the drawing board",Prep Class
400,Barking up the wrong tree,To make a mistake in your thinking or in accusing someone of something,"My mom thought I ate the last cookie, but she was barking up the wrong tree because it was actually my little brother",Prep Class
401,Beat around the bush,To talk in a roundabout way instead of getting straight to the point,"My friend was trying to ask me a question, but he kept beating around the bush and I didn't know what he wanted",Prep Class
402,Better late than never,It's better to do something late than to never do it at all,"I forgot to give my teacher my drawing yesterday, but I turned it in today and she said better late than never!",Prep Class
403,Break a leg,"A way of wishing someone good luck, especially before a performance",Break a leg! my mom said to me before I went on stage to dance,Prep Class
404,Call it a day,To stop doing something for the day,"We've been playing outside all afternoon, but it's getting dark now so let's call it a day",Prep Class
405,Caught with your hand in the cookie jar,To be caught doing something wrong,My little brother got caught with his hand in the cookie jar - he was eating cookies before dinner!,Prep Class
406,Cry over spilled milk,To be upset about something that can't be changed,"I spilled my juice and started crying, but my mom told me not to cry over spilled milk",Prep Class
407,Don't count your chickens before they hatch,Don't assume something will happen before it actually happens,"I thought I was going to get a toy for my birthday, but my mom told me not to count my chickens before they hatch",Prep Class
408,Don't judge a book by its cover,Don't make assumptions about someone or something based on its appearance,"My new friend doesn't look very friendly, but I learned not to judge a book by its cover because",Prep Class
409,A piece of cake,Something that is very easy to do,"Eating ice cream is a piece of cake, I love it!",Prep Class
410,Actions speak louder than words,What you do is more important than what you say,"My mommy always tells me that actions speak louder than words, so I try to be kind to my friends every day",Prep Class
411,All ears,To be ready and eager to listen,"Tell me the story, I'm all ears!",Prep Class
412,All thumbs,To be clumsy or awkward with your hands,"I'm all thumbs today, I can't tie my shoes",Prep Class
413,Apple of my eye,Someone or something that is very special to you,"My teddy bear is the apple of my eye, I love him very much",Prep Class
414,Back to the drawing board,To start over again from the beginning,"My block tower fell down, I have to go back to the drawing board and build it again",Prep Class
415,Barking up the wrong tree,To make a mistake in your thinking or in accusing someone of something,"My sister thought I took her toy, but she was barking up the wrong tree because it was actually our dog who took it",Prep Class
416,Beat around the bush,To talk in a roundabout way instead of getting straight to the point,"My daddy was trying to tell me something, but he kept beating around the bush and I didn't understand what he wanted",Prep Class
417,Better late than never,It's better to do something late than to never do it at all,"I forgot to bring my toy to school for show and tell, but my teacher said better late than never and let me show it the next day",Prep Class
418,Bite the bullet,To face a difficult or unpleasant situation with bravery and determination,"I didn't want to take a bath, but I knew I had to bite the bullet and do it anyway",Prep Class
419,Break a leg,"A way of wishing someone good luck, especially before a performance",Break a leg! my teacher said to me before I sang a song for my class,Prep Class
420,Call it a day,To stop doing something for the day,"We played outside for a long time, but now it's time to call it a day and go inside",Prep Class
421,Cut corners,"To do something quickly and without paying attention to detail, often resulting in poor quality","I tried to color my picture quickly by cutting corners, but it didn't look very good",Prep Class
422,Don't count your chickens before they hatch,Don't assume something will happen before it actually happens,"I thought I was going to get a piece of cake, but my mommy told me not to count my chickens before they hatch",Prep Class
423,Don't judge a book by its cover,Don't make assumptions about someone or something based on its appearance,"My friend didn't look very nice, but I learned not to judge a book by its cover because he was actually very kind",Prep Class
424,Down the hatch,A way of saying cheers! before drinking something,Down the hatch! my daddy said before taking a sip of his juice,Prep Class
425,Drive someone up the wall,To annoy or frustrate someone,My little sister keeps singing the same song and it's driving me up the wall!,Prep Class
426,Big fish in a small pond,Someone who is important in a small group,"You might be the biggest fish in our preschool, but when you go to kindergarten, there will be even bigger fish!",Prep Class
427,Cat got your tongue?,When someone is unusually quiet or not speaking,"What's the matter, sweetie? Did the cat get your tongue?",Prep Class
428,A piece of cake,Something that is easy to do,You'll do great on your coloring! It's a piece of cake for you.,Prep Class
429,A blessing in disguise,Something that seems bad at first but turns out to be good,"I know you didn't want to leave the park, but missing the rain was a blessing in disguise!",Prep Class
430,Butterflies in my stomach,Feeling nervous or anxious,It's okay to have butterflies in your stomach on the first day of school. Everyone feels that way!,Prep Class
431,The early bird catches the worm,Being early or prepared can lead to success,"Let's wake up early so we can get to the park first. Remember, the early bird catches the worm!",Prep Class
432,Hit the nail on the head,Saying something that is exactly right,You hit the nail on the head when you said you wanted to play with your dolls today!,Prep Class
433,A penny for your thoughts,Asking someone to share their thoughts or feelings,"What are you thinking about, kiddo? A penny for your thoughts.",Prep Class
434,An apple a day keeps the doctor away,Eating healthy can keep you healthy,Don't forget to eat your apple! An apple a day keeps the doctor away.,Prep Class
435,It's raining cats and dogs,It's raining very hard,We can't go to the park today. It's raining cats and dogs!,Prep Class
436,You can't judge a book by its cover,You can't know someone or something just by its appearance,"The new boy might look different, but you can't judge a book by its cover. He might be a great friend!",Prep Class
437,Don't cry over spilled milk,Don't worry about something that can't be changed,It's okay that you accidentally spilled your juice. Don't cry over spilled milk.,Prep Class
438,All ears,Listening carefully,I'm all ears if you want to tell me about your day!,Prep Class
439,Let the cat out of the bag,Revealing a secret,"Don't let the cat out of the bag, but we're going to surprise mommy with a cake for her birthday!",Prep Class
440,When pigs fly,Something that is impossible,"You want to fly to the moon? Well, when pigs fly, maybe we'll go together!",Prep Class
441,Cup of tea,Something one enjoys or is skilled at,Drawing is not really my cup of tea.,Prep Class
442,Cupcake,A small and cute person,"Look at that little girl, she's such a cupcake!",Prep Class
443,Cupboard love,Affection or attention given only because of the expectation of a reward,"The cat only comes to see us at dinner time, it's just cupboard love.",Prep Class
444,Cup runneth over,Feeling of happiness or gratitude when one's needs are met abundantly,"When I look at my family, my heart feels like my cup runneth over.",Prep Class
445,Cup of kindness,An act of goodwill or kindness,She offered a cup of kindness by helping her friend carry her heavy backpack.,Prep Class
446,Cuppa,A cup of tea or coffee,Would you like to come in for a cuppa?,Prep Class
447,Cupboard is bare,When there is no food or supplies left,We need to go to the grocery store because the cupboard is bare.,Prep Class
448,Cupid's arrow,Falling in love quickly,"When I met my wife, I felt like Cupid's arrow had struck me.",Prep Class
449,Teacup storm,"A minor, short-lived argument or disagreement","It was just a teacup storm, they will make up soon.",Prep Class
450,"Two girls, one cup","(Note: this is a vulgar and inappropriate reference, not suitable for 4-year-olds)",(Example omitted for inappropriate content),Prep Class
451,Measuring cups,Accurately assessing or measuring a situation,We need to use our measuring cups to make sure we have the right amount of ingredients.,Prep Class
452,Cup holder,A place to put a drink while driving in a car,Can you please put my cup in the cup holder so it doesn't spill?,Prep Class
453,Keep a stiff upper lip,To remain brave and strong in the face of difficulty,"Even though she was scared, she tried to keep a stiff upper lip.",Prep Class
454,Broken cup,Something that is damaged and cannot be repaired,"We need to throw away this broken cup, it's not safe to use.",Prep Class
455,Cupid's bow,A cute or charming smile,He flashed me a Cupid's bow smile when I gave him a sticker.,Prep Class
456,In the same boat,To be in the same situation as someone else,We both got wet in the rain. We're in the same boat.,Prep Class
457,Make waves,To cause trouble or disturb a situation,Don't make waves while your sister is sleeping.,Prep Class
458,Fish out of water,To feel uncomfortable or out of place in a new environment,I don't know anyone at this party. I feel like a fish out of water.,Prep Class
459,Anchors aweigh,A phrase used to indicate that a ship is about to set sail,We're going on a boat ride! Anchors aweigh!,Prep Class
460,Under the sea,Refers to something that is located or happens in the ocean,Look at all the fish under the sea!,Prep Class
461,Rough seas,A difficult or challenging situation,"We had some rough seas when we moved to a new city, but we made it through.",Prep Class
462,Cast one's net wide,To consider many options or opportunities,"When looking for a job, it's important to cast your net wide and apply to many different places.",Prep Class
463,Sea change,A significant transformation or change,The town underwent a sea change when a new factory was built.,Prep Class
464,Shipshape,"Neat and tidy, well-organized",Let's clean up this room and make it shipshape!,Prep Class
465,On the same wavelength,To be in agreement with someone else,We both want pizza for dinner! We're on the same wavelength.,Prep Class
466,High seas,"Refers to the open ocean, especially in rough or stormy conditions",The sailors braved the high seas and made it safely to their destination.,Prep Class
467,Drop in the bucket,"A small, insignificant amount compared to what is needed or expected","We need to raise $10,000 for the school fundraiser, but we've only collected $100 so far. That's just a drop in the bucket.",Prep Class
468,Sea legs,The ability to maintain balance and stability while on a moving ship,It took me a few days to get my sea legs on the cruise ship.,Prep Class
469,Swimming with the fishes,A euphemism for being dead and buried in the ocean,That gangster won't be bothering anyone anymore. He's swimming with the fishes.,Prep Class
470,Walk the plank,"A punishment often associated with pirates, in which a person is forced to walk off the edge of a plank on a ship and into the sea",Don't be mean to your sister or I'll make you walk the plank!,Prep Class
471,The sky's the limit,There are no limits to what one can achieve,"If you work hard, you can achieve anything you want. The sky's the limit!",Prep Class
472,A sky full of stars,A beautiful night sky with many stars,Look at the sky tonight! It's a sky full of stars!,Prep Class
473,Reach for the sky,To aim high and have big goals,Don't be afraid to reach for the sky and dream big!,Prep Class
474,Blue sky thinking,Creative thinking without any limitations,Let's do some blue sky thinking and come up with some new ideas for the project.,Prep Class
475,Sky-high prices,Prices that are very expensive,"I wanted to buy a new toy, but the prices were sky-high!",Prep Class
476,Under the same sky,Refers to the idea that people are connected no matter where they are in the world,"Even though we live in different countries, we are still under the same sky.",Prep Class
477,Cloud nine,A feeling of happiness and satisfaction,"After she won the race, she was on cloud nine.",Prep Class
478,Head in the clouds,To be daydreaming or not paying attention,He was so busy with his thoughts that he had his head in the clouds and didn't hear the teacher.,Prep Class
479,The sky is falling,Used to describe a situation where people are in a state of panic or overreacting,"When the fire alarm went off, everyone ran around like the sky was falling.",Prep Class
480,Once in a blue moon,Something that happens very rarely,We only get to eat ice cream for dessert once in a blue moon.,Prep Class
886,Sweet dreams,Wishing someone a good night's sleep,Mommy tucked me in and said sweet dreams.,Prep Class
887,Sweet tooth,A love for sweets,"I have a sweet tooth, I love candy and cake!",Prep Class
888,Sweet talk,Flattery or charm used to persuade someone,Daddy used sweet talk to get me to eat my vegetables.,Prep Class
889,Sweeten the deal,To make an offer more attractive,I'll sweeten the deal by throwing in a free toy.,Prep Class
890,Sweet as pie,Very friendly or agreeable,"My teacher is always sweet as pie, she never yells at us.",Prep Class
891,Sweeten the pot,To increase the prize or reward,"If you win the game, I'll sweeten the pot with extra candy.",Prep Class
892,Sweet spot,An ideal or comfortable place or situation,"I found the sweet spot on the swing, it's so much fun!",Prep Class
893,Sweeten up,To become more pleasant or friendly,"After my little sister got a hug, she started to sweeten up.",Prep Class
894,Sweeten someone up,To try to make someone like you by being nice or giving them something,My friend tried to sweeten me up by sharing her candy.,Prep Class
895,Sweet as honey,Very sweet or kind,"My grandma is sweet as honey, she always gives me hugs.",Prep Class
896,Sweeten the pill,To make something unpleasant easier to accept,I'll sweeten the pill by letting you watch your favorite movie.,Prep Class
897,Sweetheart,A term of endearment for someone you love,I call my mom sweetheart because she's so nice to me.,Prep Class
898,Sweet as can be,Extremely sweet or kind,"My neighbor is sweet as can be, she always brings me cookies.",Prep Class
899,Sweet nothings,Romantic or affectionate words whispered to a loved one,Daddy whispered sweet nothings to mommy at their anniversary dinner.,Prep Class
900,Sweeten the sour,To make a bad situation better,I tried to sweeten the sour by making a funny joke.,Prep Class
901,Sweet as sugar,Very sweet or kind,"My teacher is sweet as sugar, she never gets mad.",Prep Class
902,Sweeten the mood,To make a tense or uncomfortable situation more relaxed,My friend told a joke to sweeten the mood.,Prep Class
903,Sweet deal,An advantageous or favorable arrangement,Getting two toys for the price of one is a sweet deal.,Prep Class
904,Sweet like candy,Very sweet or kind,"My aunt is sweet like candy, she always gives me treats.",Prep Class
905,Sweet surrender,To give up or concede in a pleasant way,I sweetly surrendered when my mom told me it was time for bed.,Prep Class
906,Sweeten the tone,To make a conversation more positive or pleasant,I tried to sweeten the tone by talking about my favorite show.,Prep Class
907,Sweeten the disposition,To make someone's mood more pleasant or cheerful,My sister's smile sweetened my disposition.,Prep Class
908,Sweet as a lollipop,Very sweet or kind,"My cousin is sweet as a lollipop, she always shares her toys.",Prep Class
909,Sweet as honeycomb,Very sweet or kind,"My grandpa is sweet as honeycomb, he always tells me stories.",Prep Class
910,Sweet surrender of love,To give up to love in a pleasant way,Mommy and daddy had a sweet surrender of love and gave each other a hug.,Prep Class
911,Sweet as a cupcake,Very sweet or kind,"My friend is sweet as a cupcake, she always plays with me.",Prep Class
912,At last,Finally,We found the missing puzzle piece at last!,Prep Class
913,Last straw,The final problem that causes someone to become angry or upset,Spilling milk all over the floor was the last straw for the tired mom.,Prep Class
914,Last resort,The final option when all other options have been tried and failed,Surgery is the last resort to treat the illness.,Prep Class
915,Last but not least,"The final item in a list or group, and just as important as the others","We want to thank all the teachers for their hard work, and last but not least, our principal for leading our school.",Prep Class
916,Last minute,Happening or done at the final moment,We rushed to finish our homework at the last minute before bedtime.,Prep Class
917,Lasting impression,A strong memory that stays with someone for a long time,The beautiful sunset left a lasting impression on my mind.,Prep Class
918,Last-ditch effort,"A final attempt to do something, usually when other attempts have failed",We made a last-ditch effort to save the plant by watering it more often.,Prep Class
919,Lasting friendship,A friendship that endures over time,I hope we will have a lasting friendship forever.,Prep Class
920,Last lap,The final part of a race or project,"In the last lap of the race, the runners sprinted to the finish line.",Prep Class
921,Last hurrah,A final celebration or performance before ending something,We had a big party as our last hurrah before summer vacation ended.,Prep Class
922,Last words,The final things someone says before they die,The soldier's last words were Tell my family I love them.,Prep Class
923,Last one in is a rotten egg,A phrase used to encourage someone to hurry up and join in an activity,"Come on, hurry up! Last one in is a rotten egg!",Prep Class
924,Last call,The final opportunity to order a drink before a bar or restaurant closes,"The bartender shouted, Last call for alcohol!",Prep Class
925,Last man standing,The only person remaining in a situation where others have given up or quit,"In the game of tag, the last man standing becomes the new it.",Prep Class
926,Last word in,The most fashionable or modern style or technology,Her new phone is the last word in mobile technology.,Prep Class
927,Last laugh,"The person who wins or is successful in the end, after being laughed at or underestimated","After everyone said she couldn't do it, she had the last laugh when she won the competition.",Prep Class
928,Last straw that broke the camel's back,The final problem or issue that causes someone to collapse or give up,The boss's constant criticism was the last straw that broke the camel's back for the tired employee.,Prep Class
929,Last rites,Religious ceremonies or prayers performed for a dying or deceased person,The priest came to perform the last rites for the dying man.,Prep Class
930,Last call for (something),A warning that time is almost up for a particular activity or opportunity,Last call for boarding on the airplane!,Prep Class
931,Over the moon,Very happy,I was over the moon when I got a new toy.,Prep Class
932,On top of the world,Very happy and proud,I felt on top of the world when I won the game.,Prep Class
933,In high spirits,Happy and excited,We were in high spirits when we saw the parade.,Prep Class
934,Bursting with joy,Extremely happy,I was bursting with joy when I saw my friend.,Prep Class
935,Walking on air,Very happy and light-hearted,I was walking on air when I got an A on my test.,Prep Class
936,Happy as a clam,Very happy and content,I'm happy as a clam when I'm playing with my toys.,Prep Class
937,On cloud nine,Very happy and satisfied,Daddy was on cloud nine when he got a promotion.,Prep Class
938,Jumping for joy,Extremely happy and excited,I was jumping for joy when I got my birthday present.,Prep Class
939,All smiles,Very happy and friendly,Grandma is all smiles when we visit her.,Prep Class
940,Feeling blue,Sad or depressed,I'm feeling blue because my friend moved away.,Prep Class
941,Heartbroken,Very sad and disappointed,I was heartbroken when my favorite toy broke.,Prep Class
942,Down in the dumps,Feeling sad and unhappy,I was down in the dumps when it rained all day.,Prep Class
943,As easy as pie,Very easy,Putting on my shoes is as easy as pie.,Prep Class
944,As quick as a flash,Very fast,I ran to get my toy as quick as a flash.,Prep Class
945,As quiet as a mouse,Very quiet,I snuck past the sleeping cat as quiet as a mouse.,Prep Class
946,As slow as a snail,Very slow,The snail moved as slow as a snail.,Prep Class
947,As bright as a button,Very smart,My friend is as bright as a button when it comes to math.,Prep Class
948,As light as a feather,Very light,The bird was as light as a feather in my hand.,Prep Class
949,As strong as an ox,Very strong,My dad is as strong as an ox when he lifts weights.,Prep Class
950,As stubborn as a mule,Very stubborn,My little sister is as stubborn as a mule when she doesn't want to take a nap.,Prep Class
951,As sweet as honey,Very sweet and kind,My mom is as sweet as honey when she gives me a hug.,Prep Class
952,By and by,Eventually,"We'll get to the park by and by, but first we need to eat breakfast.",Prep Class
953,Day in and day out,Every day,I brush my teeth day in and day out to keep them healthy.,Prep Class
954,Neither here nor there,Not important,"The color of the shirt is neither here nor there, as long as it fits well.",Prep Class
955,On and on,Continuously,The music played on and on all night long.,Prep Class
956,Now and then,Occasionally,I like to eat ice cream now and then as a treat.,Prep Class
957,"So far, so good",Things are going well so far,"We've been driving for an hour and we haven't gotten lost yet. So far, so good.",Prep Class
958,Up and down,Moving in different directions,The bird flew up and down in the sky.,Prep Class
959,Back and forth,Moving back and forth,The swing goes back and forth when you push it.,Prep Class
960,Above and beyond,Going beyond what is expected,My teacher went above and beyond by staying after school to help me with my homework.,Prep Class
961,Bits and pieces,Small parts,I found bits and pieces of the puzzle under the couch.,Prep Class
962,On the go,Very busy and active,"We've been on the go all day, running errands and playing outside.",Prep Class
963,All or nothing,Either all of something or nothing at all,"You can have all the cookies or none at all, but not just one.",Prep Class
964,Time after time,Repeatedly,I've told my little brother time after time to not play with my toys.,Prep Class
965,Come rain or shine,No matter what happens,"We're going to the park come rain or shine, because we packed an umbrella.",Prep Class
966,Inside and out,Completely,"I know my favorite toy inside and out, because I've played with it so much.",Prep Class
967,Hit or miss,Not consistent,"The weather is hit or miss during the summer, so we always bring a jacket.",Prep Class
968,Short and sweet,Brief and to the point,"My teacher's message was short and sweet, reminding us to do our homework.",Prep Class
969,Far and wide,Everywhere,"I looked far and wide for my missing sock, but I couldn't find it.",Prep Class
970,High and low,Everywhere,"I searched high and low for my missing toy, but it wasn't in the usual places.",Prep Class
971,All ears,Listening carefully,"When my mom said she had a surprise, I was all ears.",Prep Class
972,Blue in the face,Exhausted or frustrated,"My little sister cried and cried, but I talked to her until I was blue in the face.",Prep Class
973,Bright-eyed and bushy-tailed,Full of energy and enthusiasm,I woke up early and felt bright-eyed and bushy-tailed for my first day of school.,Prep Class
974,Cold feet,Feeling nervous or scared,"I had cold feet before my piano recital, but I did my best.",Prep Class
975,Dead tired,Very tired,"After playing at the park all day, I was dead tired and ready for bed.",Prep Class
976,Full of beans,Full of energy and excitement,My little brother is always full of beans in the morning.,Prep Class
977,Green with envy,Jealous,"When my friend got a new toy, I was green with envy because I wanted one too.",Prep Class
978,Hard-headed,Stubborn,My little sister is hard-headed and doesn't want to wear a jacket when it's cold outside.,Prep Class
979,Heavy-hearted,Sad,I felt heavy-hearted when my pet hamster died.,Prep Class
980,In a nutshell,In summary,"In a nutshell, we're going to the park to play and have a picnic.",Prep Class
981,In the dark,Not knowing or understanding something,I was in the dark about the surprise party until my friends jumped out and yelled Surprise!,Prep Class
982,Jumping for joy,Very happy,I was jumping for joy when I found out we were going to Disneyland.,Prep Class
983,Knocked out,Very tired,"After swimming for hours, I was knocked out and fell asleep on the couch.",Prep Class
984,Laid back,Relaxed,My dad is very laid back and lets us have fun in the backyard.,Prep Class
985,Loud and clear,Very clear,"When my mom called my name, I heard her loud and clear.",Prep Class
986,Lucky duck,Very lucky,My friend won a prize at the carnival and was a lucky duck.,Prep Class
987,Old hat,Very familiar,"Playing hide and seek is old hat for me, because I play it all the time.",Prep Class
988,On cloud nine,Very happy,I was on cloud nine when I got an A on my spelling test.,Prep Class
989,Out of the blue,Unexpected,The phone rang out of the blue and it was my grandma calling to say hi.,Prep Class
990,Over the moon,Very happy,"When my mom said we could adopt a puppy, I was over the moon with excitement.",Prep Class
991,Proud as a peacock,Very proud,"When I showed my mom my art project, she was proud as a peacock of me.",Prep Class
992,Quick on the draw,Quick to respond,"When my little brother spilled his drink, I was quick on the draw with a towel.",Prep Class
993,Red as a tomato,Very embarrassed,"When I tripped and fell in front of my friends, I turned red as a tomato.",Prep Class
994,Sick as a dog,Very sick,"After eating too much candy, I felt sick as a dog and had to lie down.",Prep Class
995,Simple as ABC,Very easy,Learning how to count to ten was as simple as ABC for me.,Prep Class
996,Smart as a whip,Very smart,My sister is smart as a whip and knows all her colors and shapes.,Prep Class
997,Straight from the horse's mouth,Directly from the source,"My dad heard from the coach that the game was canceled, so it must be true because it came straight from the horse's mouth.",Prep Class
998,A bird in the hand is worth two in the bush,It's better to have something that is certain than to risk losing it by trying to get something else,I'm happy with my toy car. I don't want to trade it for something else. A bird in the hand is worth two in the bush.,Prep Class
999,A penny saved is a penny earned,Saving money is just as good as making money,"If I don't spend my allowance, I can save it for a bigger toy later. A penny saved is a penny earned.",Prep Class
1000,Actions speak louder than words,What you do is more important than what you say,"If I say I'm going to help clean up, but then I don't do anything, it doesn't mean much. Actions speak louder than words.",Prep Class
1001,All that glitters is not gold,Not everything that looks good or valuable is actually good or valuable,"Just because a toy looks really cool, it doesn't mean it's the best one. All that glitters is not gold.",Prep Class
1002,An apple a day keeps the doctor away,Eating healthy food can help you stay healthy,"I love apples, and I eat one every day. An apple a day keeps the doctor away!",Prep Class
1003,As easy as pie,Very easy,Putting my toys away is as easy as pie.,Prep Class
1004,Curiosity killed the cat,Being too curious can lead to trouble,"When I saw a spider in the corner, I wanted to get closer, but I remembered that curiosity killed the cat.",Prep Class
1005,Don't count your chickens before they hatch,Don't assume you will have something before you actually have it,"I'm really excited to go to the park, but I shouldn't count my chickens before they hatch. Maybe it will rain and we won't be able to go.",Prep Class
1006,Don't put all your eggs in one basket,Don't risk everything on one plan or idea,"If I want to win a prize at the carnival, I shouldn't just try one game. I should try lots of different games. Don't put all your eggs in one basket.",Prep Class
