id,metaphor,meaning,example,relevance
177,A rose among thorns,Something or someone beautiful in a difficult or unpleasant situation,Her kindness was a rose among thorns in a group of mean girls.,4 class
178,A sea of faces,A large group of people,"When she walked onto the stage, she saw a sea of faces in the audience.",4 class
179,A storm of emotions,A strong and intense feeling of emotions,"After the argument, she was in a storm of emotions and needed some time alone.",4 class
180,A ray of hope,A sign of optimism or a chance for improvement,"When she found out she passed the test, it was a ray of hope in a tough week.",4 class
181,A rock in a hard place,To be in a difficult or impossible situation with no good options,"When her parents both had to work and she had to take care of her little brother, she was a rock in a hard place.",4 class
182,A shot in the dark,A guess or attempt with no clear knowledge or certainty,"When she tried to guess the answer on the test, it was a shot in the dark.",4 class
183,A slippery slope,A situation that is likely to get worse or more dangerous over time,Starting to skip school was a slippery slope that led to failing grades.,4 class
184,A square peg in a round hole,Something or someone who does not fit in or belong,"When she tried to fit in with the popular kids, she felt like a square peg in a round hole.",4 class
185,A stitch in time saves nine,To address a problem early before it gets worse and more difficult to fix,"When she noticed a small tear in her shirt, her mom reminded her that a stitch in time saves nine.",4 class
186,A storm in a teacup,A situation or problem that is not as serious as it seems,"When her little brother lost his toy, it turned into a storm in a teacup until they found it under the couch.",4 class
187,As clear as crystal,To be very clear or easy to understand,"After explaining the instructions again, her teacher made it as clear as crystal.",4 class
188,As hard as a rock,To be very hard or difficult,"When she tried to break the rock, it was as hard as a rock.",4 class
189,As quick as lightning,To be very fast,"When she saw the ice cream truck, she ran as quick as lightning to catch it.",4 class
190,As slow as molasses,To move very slowly,"During the marathon, her little sister was running as slow as molasses.",4 class
191,As steady as a rock,To be very reliable and stable,"When her best friend was upset, she was as steady as a rock and listened to her.",4 class
192,As stubborn as a mule,To be very unwilling to change or do something,"When she didn't want to apologize, her dad said she was as stubborn as a mule.",4 class
193,As sweet as honey,To be very kind and friendly,Her grandma was as sweet as honey and always had cookies for her.,4 class
194,At the end of my rope,To be at the limit of one's patience or ability to cope,"After trying to solve the math problem for an hour, she was at the end of her rope.",4 class
195,A piece of cake,Something that is very easy,The spelling test was a piece of cake for her.,4 class
196,A pig in a poke,To buy something without inspecting it first,She learned the hard way that buying a used bike without checking it out first was like buying a pig in a poke.,4 class
197,A pinch of salt,To not take something too seriously or literally,"She knew that her little brother was exaggerating, so she took his story with a pinch of salt.",4 class
198,A pot of gold,A valuable reward or prize,She thought that winning the spelling bee was a pot of gold.,4 class
199,A pretty penny,A large amount of money,"The new bike cost a pretty penny, but she saved up for it.",4 class
200,A breath of fresh air,Something new and refreshing,The new student in class was a breath of fresh air and brought new ideas.,4 class
201,A cat's meow,Something or someone who is impressive or wonderful,The new dress was the cat's meow and everyone complimented her.,4 class
202,A penny saved is a penny earned,To save money is just as important as earning money,"Her dad taught her that a penny saved is a penny earned, so she started saving her allowance.",4 class
203,A picture is worth a thousand words,A visual image can convey more than words alone,The photo of her dog was a picture worth a thousand words and showed how much she loved him.,4 class
204,A snake in the grass,Someone who is deceptive or untrustworthy,She found out that her friend was a snake in the grass when she spread rumors about her.,4 class
205,A storm in a teacup,A situation or problem that is not as serious as it seems,"When her little brother lost his toy, it turned into a storm in a teacup until they found it under the couch.",4 class
206,All ears,To be eager and ready to listen,"When her teacher started telling a story, the class was all ears.",4 class
207,As busy as a bee,To be very busy and productive,"During the science fair, she was as busy as a bee with her project.",4 class
208,As clear as mud,To be very confusing or unclear,"When she read the instructions, they were as clear as mud and she didn't understand them.",4 class
209,As easy as pie,To be very easy,The multiplication table was as easy as pie for her.,4 class
210,As happy as a clam,To be very happy and content,"After finishing her book, she was as happy as a clam.",4 class
211,As light as a feather,To be very light,The backpack felt as light as a feather after she took out the heavy textbooks.,4 class
212,As old as the hills,To be very old,Her grandma's recipe was as old as the hills and had been passed down for generations.,4 class
213,As quiet as a mouse,To be very quiet,"During the test, the class was as quiet as a mouse.",4 class
214,As sharp as a tack,To be very smart and quick-witted,Her dad was as sharp as a tack and always had a witty comeback.,4 class
215,As slow as a snail,To move very slowly,"During the race, she was as slow as a snail and came in last place.",4 class
216,As strong as an ox,To be very strong,Her grandpa was as strong as an ox and could lift heavy objects with ease.,4 class
1,A rainbow of emotions,A range of different feelings and emotions,"After winning the game, she went through a rainbow of emotions, from excitement to relief to pure joy.",5 class
2,A ray of hope,A small glimmer of hope in a difficult situation,"Even though the situation seemed dire, the news of a potential cure provided a ray of hope for the patients.",5 class
3,A sea of troubles,A lot of difficulties and problems,"When she started her new job, she found herself in a sea of troubles with the difficult colleagues and the challenging workload.",5 class
4,A taste of freedom,A brief experience of independence or liberation,"After moving out of her parents' house, she had a taste of freedom and relished in the newfound independence.",5 class
5,A weight off my shoulders,A relief from a burden or responsibility,"After completing the final exam, she felt a weight off her shoulders and could finally relax.",5 class
6,An ocean of possibilities,A lot of opportunities and options,"As a recent college graduate, she saw an ocean of possibilities and was excited to see where her career would take her.",5 class
7,Apple of my eye,Something or someone that is cherished and loved above all else,Her daughter was the apple of her eye and she would do anything to make her happy.,5 class
8,At the crack of dawn,At sunrise or very early in the morning,She woke up at the crack of dawn to watch the sunrise and start her day early.,5 class
9,Beating around the bush,Avoiding the main topic or point of a conversation,Stop beating around the bush and just tell me what you really think about the project.,5 class
10,Biting the bullet,Accepting something difficult or unpleasant,"She knew she had to bite the bullet and apologize, even though it was hard for her to admit she was wrong.",5 class
11,Break a leg,Good luck,"Before going on stage, the actors would say ""break a leg"" to each other for good luck.",5 class
12,Butterflies in my stomach,Feeling nervous or anxious,"Before her first date, she had butterflies in her stomach and felt a bit queasy.",5 class
13,Castles in the air,Unrealistic or impossible plans or ideas,"Although it was a nice thought, his plan to become a millionaire overnight was just castles in the air.",5 class
14,Catching someone red-handed,Catching someone in the act of doing something wrong,"She caught her little brother red-handed, stealing cookies from the jar.",5 class
15,Cold feet,Feeling nervous or scared about something,"On the day of the exam, she got cold feet and almost didn't show up.",5 class
16,Cross that bridge when we come to it,Dealing with a problem when it arises and not worrying about it beforehand,"We don't know what the future holds, so let's just cross that bridge when we come to it.",5 class
17,Crying over spilled milk,Regretting something that has already happened and cannot be changed,"She was upset about losing the game, but crying over spilled milk wouldn't change the outcome.",5 class
18,Cutting corners,"Doing something in a cheap or easy way, without taking the time to do it properly","In order to finish the project on time, they had to cut corners and skip some important steps.",5 class
19,Diamond in the rough,"Something or someone with potential, but in need of polishing or refinement","Although the new employee had a rough start, she was a diamond in the rough and showed great potential.",5 class
20,A ray of hope,A small amount of optimism,The news of her recovery was a ray of hope in the midst of the pandemic.,5 class
21,A sea of troubles,A lot of problems or difficulties,"After losing his job, he found himself in a sea of troubles.",5 class
22,A storm of emotions,Intense and conflicting emotions,She was caught in a storm of emotions after the breakup.,5 class
23,A river of tears,A continuous flow of tears,She cried a river of tears after her beloved pet died.,5 class
24,A heart of stone,Lacking emotions or compassion,He showed no remorse for his actions; it was as if he had a heart of stone.,5 class
25,A breath of fresh air,A new and refreshing change,The new teacher was a breath of fresh air for the students.,5 class
26,A bundle of nerves,Extremely nervous or anxious,She was a bundle of nerves before her big presentation.,5 class
27,A tower of strength,Someone who is strong and supportive,My best friend has always been a tower of strength during difficult times.,5 class
28,A pain in the neck,A source of annoyance or frustration,His constant complaining was a real pain in the neck.,5 class
29,A shot in the dark,A guess or attempt without much chance of success,"He took a shot in the dark and applied for the job, even though he didn't have much experience.",5 class
30,A feather in the cap,An accomplishment or honor,Winning the competition was a feather in his cap.,5 class
31,A wolf in sheep's clothing,Someone who appears harmless but is actually dangerous,"He seemed friendly, but we later found out he was a wolf in sheep's clothing.",5 class
32,A fish out of water,Feeling uncomfortable or out of place,"She felt like a fish out of water at the party, surrounded by strangers.",5 class
33,A thorn in my side,A constant source of irritation,His loud music was a thorn in my side while trying to study.,5 class
34,A wild goose chase,A pointless and fruitless pursuit,Trying to find the missing keys was a wild goose chase; they were never found.,5 class
35,A snake in the grass,A deceitful or treacherous person,"We thought we could trust him, but he turned out to be a snake in the grass.",5 class
36,A dark cloud,A symbol of bad luck or misfortune,"After the accident, a dark cloud seemed to follow him everywhere he went.",5 class
37,A diamond in the rough,"Something or someone with potential, but needs to be polished or developed","The young athlete was a diamond in the rough, with raw talent that needed refining.",5 class
38,A silver lining,A positive aspect of a negative situation,"Although she lost her job, the silver lining was having more time to spend with her family.",5 class
39,A bitter pill to swallow,Something difficult or unpleasant to accept,"Losing the game was a bitter pill to swallow, but they knew they had to move on.",5 class
40,A square peg in a round hole,Someone who doesn't fit in or belong,He felt like a square peg in a round hole in the new school.,5 class
41,A breath of life,Something that brings new energy or vitality,The new project was a breath of life for the company.,5 class
42,A black sheep,A person who is seen as a disgrace or outcast within a group,"He was the black sheep of the family, always causing trouble.",5 class
43,A drop in the bucket,A small or insignificant amount,"The donation was appreciated, but it was just a drop in the bucket compared to what was needed.",5 class
44,Hammer it out,To work out a solution or come to an agreement through discussion,The team had to hammer out a plan before presenting it to the boss.,5 class
45,Heart of gold,A kind and generous nature,"Despite her tough exterior, she had a heart of gold and would always help those in need.",5 class
46,Head in the clouds,Being unrealistic or impractical,He had his head in the clouds when he thought he could finish the project in one day.,5 class
47,Heavy as a brick,Very heavy or burdensome,"The suitcase was heavy as a brick, and she struggled to carry it up the stairs.",5 class
48,High as a kite,To be under the influence of drugs or alcohol,"After the party, he was high as a kite and couldn't walk straight.",5 class
49,Hit the ground running,To start something quickly and with energy,The new employee hit the ground running and quickly learned the ropes.,5 class
50,Hold your horses,To slow down or be patient,"""Hold your horses!"" the coach yelled before the team ran onto the field.",5 class
51,Home sweet home,A place of comfort and familiarity,"After a long trip, it was good to be back home sweet home.",5 class
52,Hot potato,A difficult or controversial issue that is passed around,The issue of gun control was a hot potato that no one wanted to deal with.,5 class
53,Hot under the collar,To be angry or upset,He was hot under the collar when he found out someone had scratched his car.,5 class
54,Head over heels,To be completely and deeply in love,She was head over heels in love with her new boyfriend.,5 class
55,Half-hearted,To do something without enthusiasm or commitment,"The team made a half-hearted attempt to win the game, and ended up losing.",5 class
56,Hand in hand,To work together or go together well,The company's success was due to the employees and management working hand in hand.,5 class
57,Hard as nails,To be tough or unyielding,The coach was hard as nails and pushed the team to their limits.,5 class
58,Heartfelt,To express genuine and sincere emotions,She gave a heartfelt apology for her mistake.,5 class
59,Heavy-hearted,To be sad or weighed down by emotion,He was heavy-hearted after the loss of his beloved pet.,5 class
60,Hill of beans,Something that has little value or significance,The small bonus was just a hill of beans compared to what he was expecting.,5 class
61,Holy grail,Something that is highly sought after or difficult to obtain,Winning the championship was the holy grail for the team.,5 class
62,Home run,A huge success or victory,The new product launch was a home run for the company.,5 class
63,"Hook, line, and sinker",To be completely fooled or deceived,"He fell for the scam hook, line, and sinker and lost his life savings.",5 class
64,Horse of a different color,Something that is completely different or unexpected,The new policy was a horse of a different color that the employees were not prepared for.,5 class
65,Hot seat,To be in a position of pressure or scrutiny,The CEO was in the hot seat during the shareholder's meeting.,5 class
66,Hour of need,A time of great difficulty or crisis,She was there for her friend in her hour of need.,5 class
67,Hush-hush,To keep something secret or confidential,"The new product launch was hush-hush, and only a select few were allowed to know about it.",5 class
68,Off the hook,To be released from responsibility or obligation,He was off the hook when his friend took the blame for the broken vase.,5 class
69,On cloud nine,To be extremely happy or elated,She was on cloud nine after receiving a scholarship to her dream school.,5 class
70,On the fence,To be undecided or unsure about something,He was on the fence about which college to attend.,5 class
71,On the same page,To have the same understanding or perspective,The team was on the same page about the project's goals.,5 class
72,Out of the blue,To happen unexpectedly or without warning,The job offer came out of the blue and took her by surprise.,5 class
73,Over the moon,To be extremely happy or excited,She was over the moon when she found out she got the job.,5 class
74,On the ball,To be alert and quick to respond,The receptionist was always on the ball and never missed a call.,5 class
75,On thin ice,To be in a risky or dangerous situation,His job was on thin ice after making a mistake on a critical project.,5 class
76,Open book,To be easy to understand or read,"His emotions were an open book, and it was clear he was unhappy.",5 class
77,Old hat,Something that is outdated or old-fashioned,The fashion trend from last season was old hat and no longer popular.,5 class
78,Oil the wheels,To make things run more smoothly or efficiently,The new software system helped oil the wheels of the company's operations.,5 class
79,Once in a blue moon,To happen very rarely or infrequently,He only visited his hometown once in a blue moon.,5 class
80,On the chopping block,To be in danger of losing something,The company's underperforming branch was on the chopping block for closure.,5 class
81,One-trick pony,To be skilled at only one thing,He was a one-trick pony and could only play one instrument.,5 class
82,Out of the frying pan and into the fire,To go from a bad situation to an even worse one,"After losing his job, he went out and spent all his savings, going from the frying pan and into the fire.",5 class
83,On the back burner,To be put aside or delayed for later,The project was put on the back burner while the team worked on a more urgent task.,5 class
84,Over the hump,To be past the most difficult or challenging part of something,The team was over the hump and could see the finish line.,5 class
85,On the rocks,"To be in a difficult or uncertain situation, especially in a relationship","Their marriage was on the rocks, and they were considering divorce.",5 class
86,Open a can of worms,To create a difficult or complicated situation by taking action,Bringing up the controversial topic opened a can of worms and caused a heated debate.,5 class
87,Out of this world,To be excellent or extraordinary,The food at the new restaurant was out of this world.,5 class
88,Old flame,A former romantic partner,She ran into an old flame from college and felt nostalgic.,5 class
89,On the same wavelength,To have a shared understanding or connection,The two musicians were on the same wavelength and created beautiful music together.,5 class
90,One in a million,To be very rare or special,"Her talent was one in a million, and she was destined for greatness.",5 class
91,"Out of sight, out of mind",To forget about something or someone when they are no longer present,"After moving to a new city, he was out of sight, out of mind for his old friends.",5 class
92,Make a mountain out of a molehill,To exaggerate or overreact to a small problem,She always makes a mountain out of a molehill and causes unnecessary drama.,5 class
93,Meet your match,To encounter someone who is an equal in skill or ability,The chess champion finally met his match in a young prodigy.,5 class
94,Milestone,A significant event or achievement,Graduating from high school was a major milestone in her life.,5 class
95,Mind over matter,The power of the mind to overcome physical obstacles,She was able to run a marathon with her mind over matter mentality.,5 class
96,Mixed bag,"A variety of things, some good and some bad","The movie reviews were a mixed bag, with some critics loving it and others hating it.",5 class
97,"Monkey see, monkey do",To imitate the actions of others without understanding why,"The younger siblings often follow their older brother's lead, like monkey see, monkey do.",5 class
98,Mother lode,A large or rich source of something valuable,The discovery of oil in the area was a mother lode for the local economy.,5 class
99,Move mountains,To do something very difficult or make a significant change,The activists were able to move mountains and change the government's policy on climate change.,5 class
100,Music to my ears,Something pleasing or enjoyable to hear,The sound of the ocean waves was music to her ears.,5 class
101,Mystery meat,Food of unknown origin or content,The school lunch always had a mystery meat option that no one dared to try.,5 class
102,My way or the highway,To insist on one's own way without compromise,"The boss always had a my way or the highway attitude, making it difficult to work with him.",5 class
103,Nail in the coffin,The final event that leads to failure or defeat,The company's bankruptcy was the nail in the coffin for their struggling business.,5 class
104,Name-dropping,Mentioning famous or influential people to impress others,He was always name-dropping celebrities he claimed to have met to seem important.,5 class
105,Neck of the woods,A particular region or neighborhood,The new family moved to our neck of the woods and we welcomed them warmly.,5 class
106,Needle in a haystack,Something very difficult or impossible to find,Finding her lost earring in the park was like looking for a needle in a haystack.,5 class
107,Nerves of steel,To have great courage or fortitude in a difficult situation,The firefighter had nerves of steel when rescuing the trapped family from the burning building.,5 class
108,Nip in the bud,To stop something before it becomes a larger problem,The teacher was able to nip the cheating problem in the bud before it became widespread.,5 class
109,No man's land,An area that is unoccupied or undefined,"The disputed border between the two countries was a no man's land, with neither side claiming ownership.",5 class
110,Not a shred of evidence,No evidence to support a claim or accusation,The lawyer argued that there was not a shred of evidence to convict his client.,5 class
111,Not playing with a full deck,To be mentally deficient or unstable,The suspect was not playing with a full deck and needed psychological evaluation.,5 class
112,Not the sharpest tool in the shed,To be not very intelligent or bright,"He may be a nice guy, but he's not the sharpest tool in the shed.",5 class
113,Nothing to sneeze at,To be significant or important,Winning a bronze medal at the Olympics is nothing to sneeze at.,5 class
