S.No.,Class / Age,Hyperbole,Meaning,Example Sentence
79,5 class,It's hard as iron.,Very tough or durable.,The diamond is hard as iron and can cut through almost anything.
80,5 class,He's working hard as a dog.,Exerting a lot of effort or energy.,He's been working hard as a dog to finish the construction project on time.
81,5 class,It's a hard pill to swallow.,A difficult or unpleasant truth to accept.,"Losing the game was a hard pill to swallow, but we learned from our mistakes."
82,5 class,It's a hard knock life.,A difficult or challenging life.,"Growing up in poverty can be a hard knock life, but it teaches you resilience."
83,5 class,He's been hitting the books hard.,Studying intensely or diligently.,He's been hitting the books hard to prepare for his upcoming exams.
84,5 class,It's a hard fact.,A difficult or unpleasant truth.,The fact that he lied to us was a hard fact to accept.
85,5 class,I'm working hard as a bee.,Exerting a lot of effort or energy.,I'm working hard as a bee to finish my science project before the due date.
86,5 class,It's a hard row to hoe.,A difficult or challenging task.,"Raising three kids on her own is a hard row to hoe, but she manages."
87,5 class,The problem is hard as a rock.,Very difficult or challenging.,"Solving the puzzle was hard as a rock, and it took me hours to complete."
88,5 class,I'm trying hard as I can.,Exerting a lot of effort or energy.,I'm trying hard as I can to make a good impression on my new teacher.
89,5 class,That lesson was hard as nails.,Very difficult or challenging.,"Learning algebra was hard as nails, but with practice, I got better."
90,5 class,It's hard as granite.,Very tough or durable.,"The mountain is hard as granite, and it's difficult to climb."
91,5 class,He's been working hard as a horse.,Exerting a lot of effort or energy.,He's been working hard as a horse to prepare for the marathon.
92,5 class,It's a hard sell.,A difficult or challenging item to market or persuade someone to buy.,Selling a car with a lot of miles on it can be a hard sell.
93,5 class,That workout was hard as heck.,Very challenging or strenuous.,"The workout was hard as heck, but it felt good to push myself."
94,5 class,I'm trying hard as nails.,Exerting a lot of effort or energy.,I'm trying hard as nails to improve my basketball skills.
95,5 class,It's a hard truth to face.,A difficult or unpleasant truth to accept.,"The fact that she was moving away was a hard truth to face, but we stayed in touch."
96,5 class,She's crying her eyes out.,Crying very intensely.,"When she heard the news, she started crying her eyes out."
97,5 class,He's crying like a baby.,Crying uncontrollably.,"When he didn't get what he wanted, he started crying like a baby."
98,5 class,It made me want to cry.,Very emotional or touching.,The movie was so sad that it made me want to cry.
99,5 class,She's crying a river.,Crying a lot of tears.,"When she found out her dog had died, she started crying a river."
100,5 class,He's crying his heart out.,Crying very intensely.,"When he lost the championship game, he started crying his heart out."
101,5 class,It's enough to make you cry.,Very sad or disappointing.,The fact that so many people are homeless is enough to make you cry.
102,5 class,She's crying a waterfall.,Crying a lot of tears.,"When her parents got divorced, she cried a waterfall."
103,5 class,He's crying a bucket.,Crying a lot of tears.,"When he broke his arm, he cried a bucket."
104,5 class,It made me cry like a baby.,Very emotional or touching.,The graduation ceremony was so moving that it made me cry like a baby.
105,5 class,She's crying her heart and soul out.,Crying very intensely.,"When she got into a fight with her best friend, she started crying her heart and soul out."
106,5 class,He's crying his eyes dry.,Crying so much that there are no more tears left.,"When he lost his job, he cried his eyes dry."
107,5 class,It's enough to make you cry your eyes out.,Very sad or disappointing.,The fact that so many animals are abused is enough to make you cry your eyes out.
108,5 class,She's crying a storm.,Crying a lot of tears.,"When she failed her driving test, she cried a storm."
109,5 class,He's crying his eyes into a puddle.,Crying a lot of tears.,"When his girlfriend broke up with him, he cried his eyes into a puddle."
110,5 class,It's a cry for help.,A signal that someone needs assistance or support.,"When he started acting out, it was a cry for help."
111,5 class,She's crying her soul out.,Crying very intensely.,"When she lost her grandmother, she started crying her soul out."
112,5 class,He's crying like it's the end of the world.,Crying very intensely.,"When he got a bad grade on his report card, he started crying like it was the end of the world."
113,5 class,It's enough to make you cry your heart out.,Very sad or disappointing.,The fact that so many children go hungry is enough to make you cry your heart out.
114,5 class,She's crying a lake.,Crying a lot of tears.,"When she got into a fight with her sister, she cried a lake."
115,5 class,He's crying his eyes out like a faucet.,Crying a lot of tears.,"When his dog died, he cried his eyes out like a faucet."
116,5 class,It made me cry a river.,Very emotional or touching.,The wedding was so beautiful that it made me cry a river.
574,Prep Class,As fast as a racecar,Very fast,The car zoomed by as fast as a racecar.
575,Prep Class,As slow as a turtle,Very slow,The snail moved as slow as a turtle.
576,Prep Class,As big as a house,Very big,The elephant was as big as a house.
577,Prep Class,As small as a mouse,Very small,The baby mouse was as small as a pea.
578,Prep Class,As loud as thunder,Very loud,The fireworks were as loud as thunder.
579,Prep Class,As quiet as a mouse,Very quiet,The cat crept up as quiet as a mouse.
580,Prep Class,As strong as a superhero,Very strong,The weightlifter was as strong as a superhero.
581,Prep Class,As weak as a kitten,Very weak,The sick cat was as weak as a kitten.
582,Prep Class,As bright as the sun,Very bright,The sun was shining as bright as the sun.
583,Prep Class,As shiny as a star,Very shiny,The diamond was as shiny as a star.
584,Prep Class,As colorful as a rainbow,Very colorful,The painting was as colorful as a rainbow.
585,Prep Class,As tasty as candy,Very tasty,The cake was as tasty as candy.
586,Prep Class,As sleepy as a bear,Very sleepy,The child was as sleepy as a bear.
587,Prep Class,As busy as a bee,Very busy,The worker was as busy as a bee.
588,Prep Class,As sweet as honey,Very sweet,The dessert was as sweet as honey.
589,Prep Class,As sour as vinegar,Very sour,The lemon was as sour as vinegar.
590,Prep Class,As brave as a lion,Very brave,The soldier was as brave as a lion.
591,Prep Class,As scared as a mouse,Very scared,The child was as scared as a mouse.
592,Prep Class,As happy as a clam,Very happy,The child was as happy as a clam.
593,Prep Class,As sad as a puppy,Very sad,The dog was as sad as a puppy.
594,Prep Class,As hot as a volcano,Very hot,The lava was as hot as a volcano.
595,Prep Class,As cold as ice,Very cold,The ice cube was as cold as ice.
596,Prep Class,As smart as a fox,Very smart,The student was as smart as a fox.
597,Prep Class,As silly as a clown,Very silly,The child was as silly as a clown.
598,Prep Class,As calm as a lake,Very calm,The water was as calm as a lake.
599,Prep Class,As wild as a jungle,Very wild,The animals were as wild as a jungle.
600,Prep Class,As beautiful as a flower,Very beautiful,The garden was as beautiful as a flower.
601,Prep Class,As ugly as a toad,Very ugly,The monster was as ugly as a toad.
602,Prep Class,As light as a cloud,Very light,The feather was as light as a cloud.
603,Prep Class,As heavy as a boulder,Very heavy,The rock was as heavy as a boulder.
604,Prep Class,As tall as a tree,Very tall,The giraffe was as tall as a tree.
605,Prep Class,As short as a duck,Very short,The penguin was as short as a duck.
606,Prep Class,As smooth as silk,Very smooth,The skin was as smooth as silk.
607,Prep Class,As rough as sandpaper,Very rough,The rock was as rough as sandpaper.
608,Prep Class,As hungry as a bear,Very hungry,The child was as hungry as a bear.
609,Prep Class,As thirsty as a desert,Very thirsty,The hiker was as thirsty as a desert.
610,Prep Class,I'm so hungry I could eat a horse,I am very hungry,"I didn't eat breakfast, so I'm so hungry I could eat a horse."
611,Prep Class,It's raining cats and dogs,It's raining very heavily,We can't go outside to play because it's raining cats and dogs.
612,Prep Class,I have a million things to do,I have a lot of things to do,"I can't play right now, I have a million things to do."
613,Prep Class,My backpack weighs a ton,My backpack is very heavy,I can barely carry my backpack because it weighs a ton.
614,Prep Class,I have eyes in the back of my head,I am aware of everything happening around me,"My mom always knows what I'm doing, it's like she has eyes in the back of her head."
615,Prep Class,I could sleep for a week,I am very tired,"I stayed up too late last night, I could sleep for a week."
616,Prep Class,I'm so excited I could burst,I am very excited,I'm going to Disneyland tomorrow and I'm so excited I could burst.
617,Prep Class,I've told you a million times,I have told you many times,I've told you a million times to clean up your toys.
618,Prep Class,It's hotter than the sun,It is very hot,"It's so hot outside, it's hotter than the sun."
619,Prep Class,I'm as hungry as a bear,I am very hungry,"I didn't eat lunch today, so I'm as hungry as a bear."
620,Prep Class,I have a memory like an elephant,I have a good memory,"I can remember all my friends' phone numbers, I have a memory like an elephant."
621,Prep Class,My backpack is a bottomless pit,My backpack can hold a lot of things,"I have all my school supplies in my backpack, it's like a bottomless pit."
622,Prep Class,I could eat a whole pizza by myself,I am very hungry,"I haven't eaten all day, I could eat a whole pizza by myself."
623,Prep Class,I'm so tired I could sleep standing up,I am very tired,"I've been running around all day, I'm so tired I could sleep standing up."
624,Prep Class,I could run a marathon right now,I have a lot of energy,"I had a good breakfast, I could run a marathon right now."
625,Prep Class,I'm as fast as a cheetah,I can run very fast,I won the race because I'm as fast as a cheetah.
626,Prep Class,I could drink a lake of water,I am very thirsty,"I played outside all day, I could drink a lake of water."
627,Prep Class,I could climb a mountain,I am very strong,"I lifted all the heavy boxes by myself, I could climb a mountain."
628,Prep Class,My teacher is a genius,My teacher is very smart,"My teacher knows the answer to every question, she's a genius."
629,Prep Class,I have a nose like a bloodhound,I have a good sense of smell,"I can smell cookies baking from a mile away, I have a nose like a bloodhound."
630,Prep Class,I have ears like a bat,I have good hearing,"I can hear a whisper from across the room, I have ears like a bat."
631,Prep Class,I'm as happy as a clam,I am very happy,"I got an A on my test, I'm as happy as a clam."
632,Prep Class,I could eat a horse,Very hungry,"I'm so hungry, I could eat a horse!"
633,Prep Class,I ate a ton of food,Ate a lot,I ate a ton of food at the party yesterday.
634,Prep Class,I could eat my weight in ice cream,Loves ice cream,"I love ice cream so much, I could eat my weight in it!"
635,Prep Class,I've been eating nonstop,Eating a lot,I've been eating nonstop since I woke up this morning.
636,Prep Class,I could eat a whole pizza by myself,Hungry and likes pizza,I'm so hungry and I love pizza so much that I could eat a whole pizza by myself.
637,Prep Class,I've been eating like a pig,Eating a lot,"I've been eating like a pig lately, I need to slow down."
638,Prep Class,I eat candy like it's going out of style,Loves candy,"I love candy so much, I eat it like it's going out of style."
639,Prep Class,"I'm so hungry, I could eat my shoe",Very hungry,"I haven't eaten in hours, I'm so hungry I could eat my shoe!"
640,Prep Class,I eat breakfast like a king,Eats a big breakfast,"I always eat a big breakfast, I eat like a king in the morning."
641,Prep Class,I'm always hungry,Always hungry,"I'm always hungry, I feel like I could eat all day."
642,Prep Class,"I eat so much, I must have a hollow leg",Eats a lot,"I eat so much, I must have a hollow leg!"
643,Prep Class,"I eat so much, I should be a sumo wrestler",Eats a lot,"I eat so much, I should be a sumo wrestler."
644,Prep Class,I'm a bottomless pit when it comes to food,Eats a lot,"I can never seem to get full, I'm a bottomless pit when it comes to food."
645,Prep Class,I eat veggies like they're going out of style,Loves vegetables,"I love vegetables so much, I eat them like they're going out of style."
646,Prep Class,I eat a million apples a day,Eats a lot of apples,"I love apples so much, I eat a million of them a day."
647,Prep Class,"I'm so hungry, I could eat a whole cow",Very hungry,"I haven't eaten in so long, I'm so hungry I could eat a whole cow."
648,Prep Class,I eat like a bird,Eats very little,"I don't eat very much, I eat like a bird."
649,Prep Class,"I eat so much, I must have a bottomless stomach",Eats a lot,"I eat so much, I must have a bottomless stomach."
650,Prep Class,"I eat so much, I could feed a small army",Eats a lot,"I eat so much, I could feed a small army."
651,Prep Class,I'm starving to death,Very hungry,"I haven't eaten in hours, I feel like I'm starving to death."
652,Prep Class,I eat spaghetti like a pro,Eats spaghetti well,"I love spaghetti so much, I eat it like a pro."
653,Prep Class,I could eat a whole field of corn,Very hungry,"I'm so hungry, I could eat a whole field of corn."
654,Prep Class,I eat fruit like it's my job,Loves fruit,"I love fruit so much, I eat it like it's my job."
655,Prep Class,I'm as happy as a clam,Expressing great happiness,"I'm as happy as a clam, playing with my friends!"
656,Prep Class,I'm over the moon happy,Expressing great happiness and excitement,"I'm over the moon happy, because I got a new toy!"
657,Prep Class,I'm happy as a lark,Expressing great happiness,"I'm happy as a lark, because it's a beautiful day!"
658,Prep Class,I'm as happy as can be,Expressing great happiness,"I'm as happy as can be, because I'm spending time with my family!"
659,Prep Class,I'm happy-go-lucky,Expressing a carefree and happy attitude,"I'm happy-go-lucky, enjoying my day with a smile!"
660,Prep Class,I'm tickled pink,Expressing happiness and amusement,"I'm tickled pink, because my joke made everyone laugh!"
661,Prep Class,I'm on top of the world,Expressing great happiness and satisfaction,"I'm on top of the world, because I just won a game!"
662,Prep Class,I'm as happy as a kid in a candy store,Expressing great happiness and excitement,"I'm as happy as a kid in a candy store, because I can pick any candy I want!"
663,Prep Class,I'm ecstatic,Expressing extreme happiness,"I'm ecstatic, because I got the gift I always wanted!"
664,Prep Class,I'm as happy as a butterfly in a flower garden,Expressing great happiness and contentment,"I'm as happy as a butterfly in a flower garden, because everything is so beautiful!"
665,Prep Class,I'm as happy as a pig in mud,Expressing great happiness and satisfaction,"I'm as happy as a pig in mud, playing in the dirt!"
666,Prep Class,I'm on cloud nine,Expressing great happiness and excitement,"I'm on cloud nine, because I just got an A+ on my test!"
667,Prep Class,I'm grinning from ear to ear,Expressing great happiness and joy,"I'm grinning from ear to ear, because I just had a great time!"
668,Prep Class,I'm as happy as a bee in a flower field,Expressing great happiness and joy,"I'm as happy as a bee in a flower field, because everything is so sweet!"
669,Prep Class,I'm as happy as a clam at high water,Expressing great happiness,"I'm as happy as a clam at high water, because everything is going well!"
670,Prep Class,I'm beaming with happiness,Expressing great happiness and joy,"I'm beaming with happiness, because everything is so wonderful!"
671,Prep Class,I'm as happy as a bird with a worm,Expressing great happiness,"I'm as happy as a bird with a worm, because everything is going my way!"
672,Prep Class,I'm on a happiness high,Expressing great happiness and joy,"I'm on a happiness high, because everything is so amazing!"
673,Prep Class,I'm as happy as a kitten with a ball of yarn,Expressing great happiness and joy,"I'm as happy as a kitten with a ball of yarn, because everything is so fun!"
674,Prep Class,I'm as happy as a clam in a bucket of chowder,Expressing great happiness,"I'm as happy as a clam in a bucket of chowder, because everything is so tasty!"
675,Prep Class,I'm as happy as a turtle in a pond,Expressing great happiness,"I'm as happy as a turtle in a pond, because everything is so calm and peaceful!"
676,Prep Class,Loud as thunder,Very loud,"The thunder outside was so loud, it sounded like a bomb going off."
677,Prep Class,Loads of fun,A lot of fun,The carnival was loads of fun.
678,Prep Class,Light as a feather,Very light,The paper airplane was as light as a feather.
679,Prep Class,Laughing my head off,Laughing a lot,"The joke was so funny, I was laughing my head off."
680,Prep Class,Lived happily ever after,A happy ending,The prince and princess fell in love and lived happily ever after.
681,Prep Class,Long as a train,Very long,The line of cars waiting to get into the amusement park was long as a train.
682,Prep Class,Like a zoo,Very chaotic,The classroom was like a zoo when the substitute teacher was there.
683,Prep Class,Lost my mind,Confused or overwhelmed,"When I couldn't find my keys, I thought I had lost my mind."
684,Prep Class,Loaded with money,Having a lot of money,The millionaire was loaded with money.
685,Prep Class,Dancing like crazy,Dancing energetically,She was dancing like crazy at the party.
686,Prep Class,Dizzy with excitement,Very excited,The children were dizzy with excitement when they saw the magician perform.
687,Prep Class,Delicious as candy,Very tasty,The ice cream was delicious as candy.
688,Prep Class,Drank like a fish,Drinking a lot,He drank like a fish at the party.
689,Prep Class,Dull as dishwater,Very boring,The lecture was as dull as dishwater.
690,Prep Class,Drenched to the bone,Completely soaked,"After playing in the rain, the kids were drenched to the bone."
691,Prep Class,Dream come true,A wish fulfilled,Going to Disneyland was a dream come true for the little girl.
692,Prep Class,Driving me crazy,Making me feel insane,The constant noise from the construction outside was driving me crazy.
693,Prep Class,Diamond in the rough,A good person or thing with unpolished qualities,"He's not the most polished speaker, but he's a diamond in the rough."
694,Prep Class,Doing cartwheels,Being extremely happy,"When he found out he got an A on his test, he was doing cartwheels."
