id,simile,meaning,example,relevance
110,As heavy as a plow,Very heavy and unwieldy,The old tractor was as heavy as a plow and couldn't make it up the hill.,5 class
111,As heavy as a brick,Very heavy and dense,The book was as heavy as a brick and made her backpack weigh a ton.,5 class
112,As heavy as a cannonball,Very heavy and solid,The cannonball was as heavy as a cannonball and couldn't be lifted by one person.,5 class
113,As heavy as a load of bricks on his shoulders,Very heavy and oppressive,The weight of his mistakes felt as heavy as a load of bricks on his shoulders.,5 class
114,As heavy as a full-grown ox,Very heavy and massive,The statue was as heavy as a full-grown ox and had to be lifted by a crane.,5 class
115,As heavy as a full-grown horse,Very heavy and cumbersome,The saddle was as heavy as a full-grown horse and difficult to carry.,5 class
116,As heavy as a full-grown cow,Very heavy and cumbersome,The water bucket was as heavy as a full-grown cow and difficult to lift.,5 class
117,As heavy as a full-grown elephant,Very heavy and cumbersome,The piano was as heavy as a full-grown elephant and required a team of movers.,5 class
118,As heavy as a pile of bricks,Very heavy and cumbersome,The backpack was as heavy as a pile of bricks and made his shoulders ache.,5 class
354,As busy as a bee,Working hard and fast,The children were as busy as bees when they were cleaning up their classroom.,2 class
355,As bright as the sun,Radiating light and warmth,The sky was as bright as the sun on a clear summer day.,2 class
356,As brave as a lion,Fearless and courageous,The boy felt as brave as a lion when he stood up to a bully.,2 class
357,As quiet as a mouse,Very quiet and still,The baby was as quiet as a mouse when she was sleeping.,2 class
358,As happy as a clam,Very content and satisfied,The girl felt as happy as a clam when she received a good grade on her test.,2 class
359,As quick as lightning,Very fast and sudden,The boy ran as quick as lightning when he heard his favorite song playing.,2 class
360,As wise as an owl,Very knowledgeable and wise,The teacher was as wise as an owl when she answered all the students' questions.,2 class
361,As strong as an ox,Very strong and powerful,The weightlifter was as strong as an ox when he lifted the heavy barbell.,2 class
362,As slippery as an eel,Very difficult to catch or hold onto,The fish was as slippery as an eel when the fisherman tried to catch it.,2 class
363,As light as a feather,Very light and easy to carry,The backpack was as light as a feather after the student removed all the heavy books.,2 class
364,As tall as a giraffe,Very tall and high,The tree was as tall as a giraffe in the middle of the forest.,2 class
365,As quiet as a church mouse,Very quiet and still,The baby was as quiet as a church mouse when she was sleeping during the church service.,2 class
366,As heavy as a rock,Very heavy and difficult to lift,The box was as heavy as a rock when the student tried to move it.,2 class
367,As white as snow,Very white and pure,The snow was as white as snow on the mountain peak.,2 class
368,As small as a button,Very small and tiny,The baby's feet were as small as a button.,2 class
369,As big as an elephant,Very big and large,The car was as big as an elephant when the child saw it for the first time.,2 class
370,As black as coal,Very black and dark,The night sky was as black as coal during the power outage.,2 class
371,As cold as ice,Very cold and chilly,The ice cream was as cold as ice when the child took it out of the freezer.,2 class
372,As red as a tomato,Very red and bright,The girl's cheeks were as red as a tomato after she ran around outside.,2 class
373,As fast as a cheetah,Very fast and quick,The boy ran as fast as a cheetah when he was late for school.,2 class
374,As sweet as candy,Very sweet and delicious,The cake was as sweet as candy when the child took a bite.,2 class
375,As sour as a lemon,Very sour and tart,The lemonade was as sour as a lemon when the child took a sip.,2 class
376,As bright as a star,Very bright and shining,The star was as bright as a star in the sky.,2 class
377,As slow as a turtle,Very slow and sluggish,The snail was as slow as a turtle when it crawled across the sidewalk.,2 class
378,As hot as fire,Very hot and burning,The stove was as hot as fire when the child accidentally touched it.,2 class
379,As sweet as honey,Very sweet and delicious,The cake was as sweet as honey when the child took a bite.,2 class
380,As sweet as sugar,Very sweet and sugary,The candy was as sweet as sugar when the child took a piece.,2 class
381,As sweet as candy,Very sweet and delicious,The apple was as sweet as candy when the child took a bite.,2 class
382,As sweet as nectar,Very sweet and flavorful,The flower was as sweet as nectar to the butterfly.,2 class
383,As sweet as a peach,Very sweet and juicy,The peach was as sweet as a peach when the child took a bite.,2 class
384,As sweet as a melody,Very sweet and pleasant,The music was as sweet as a melody to the child's ears.,2 class
385,As sweet as a lullaby,Very sweet and soothing,The mother's voice was as sweet as a lullaby when she sang to her child.,2 class
386,As sweet as a rose,Very sweet and fragrant,The rose was as sweet as a rose to the bee.,2 class
387,As sweet as a kiss,Very sweet and affectionate,The kiss was as sweet as a kiss from a loved one.,2 class
388,As sweet as a dream,Very sweet and pleasant,The dream was as sweet as a dream when the child woke up with a smile.,2 class
389,As sweet as pie,Very sweet and tasty,The pie was as sweet as pie when the child took a bite.,2 class
390,As sweet as love,Very sweet and romantic,The letter was as sweet as love when the child read it.,2 class
391,As sweet as syrup,Very sweet and thick,The pancakes were as sweet as syrup when the child poured it on top.,2 class
392,As sweet as a cupcake,Very sweet and cute,The cupcake was as sweet as a cupcake when the child saw it for the first time.,2 class
393,As sweet as chocolate,Very sweet and chocolaty,The brownie was as sweet as chocolate when the child took a bite.,2 class
394,As sweet as cotton candy,Very sweet and fluffy,The cotton candy was as sweet as cotton candy when the child took a bite.,2 class
395,As sweet as a cherub,Very sweet and innocent,The baby was as sweet as a cherub when she smiled.,2 class
396,As sweet as a cookie,Very sweet and crunchy,The cookie was as sweet as a cookie when the child took a bite.,2 class
397,As sweet as a candy cane,Very sweet and festive,The candy cane was as sweet as a candy cane during the holiday season.,2 class
398,As sweet as a treat,Very sweet and enjoyable,The ice cream was as sweet as a treat on a hot summer day.,2 class
399,As sweet as a bouquet,Very sweet and colorful,The flowers were as sweet as a bouquet to the mother.,2 class
400,As sweet as a butterfly,Very sweet and graceful,The butterfly was as sweet as a butterfly when it flew by.,2 class
401,As sweet as a rainbow,Very sweet and beautiful,The rainbow was as sweet as a rainbow to the child.,2 class
402,As sweet as a song,Very sweet and melodious,The song was as sweet as a song to the child's ears.,2 class
403,As sweet as a marshmallow,Very sweet and fluffy,The marshmallow was as sweet as a marshmallow when the child took a bite.,2 class
404,As sweet as a cup of tea,Very sweet and relaxing,The tea was as sweet as a cup of tea on a cold day.,2 class
405,As tough as nails,Very strong and durable,The boots were as tough as nails when the child walked through the rocky terrain.,2 class
406,As tough as leather,Very strong and sturdy,The jacket was as tough as leather when the child wore it on a cold day.,2 class
407,As tough as a rock,Very hard and unyielding,The stone was as tough as a rock when the child tried to break it.,2 class
408,As tough as steel,Very strong and unyielding,The bike frame was as tough as steel when the child rode it on bumpy roads.,2 class
409,As tough as a rhinoceros,Very strong and durable,The armor was as tough as a rhinoceros when the knight wore it in battle.,2 class
410,As tough as a tree,Very strong and sturdy,The tree was as tough as a tree when the child tried to climb it.,2 class
411,As tough as a lion,Very strong and resilient,The athlete was as tough as a lion when he pushed through the pain and won the race.,2 class
412,As tough as a tiger,Very strong and fierce,The coach was as tough as a tiger when he challenged his players to do their best.,2 class
413,As tough as a bulldozer,Very strong and powerful,The bulldozer was as tough as a bulldozer when it cleared the path for construction.,2 class
414,As tough as a tank,Very strong and indestructible,The tank was as tough as a tank when it withstood enemy fire.,2 class
415,As tough as an elephant,Very strong and robust,The building was as tough as an elephant when it survived an earthquake.,2 class
416,As tough as a hammer,Very strong and forceful,The hammer was as tough as a hammer when the child used it to nail down the boards.,2 class
417,As tough as a nut,Very hard and difficult to crack,The nut was as tough as a nut when the child tried to open it.,2 class
418,As tough as a knot,Very hard and tightly bound,The rope was as tough as a knot when the child tried to untie it.,2 class
419,As tough as a bear,Very strong and resilient,The hiker was as tough as a bear when she survived the harsh weather conditions.,2 class
420,As tough as a bull,Very strong and determined,The wrestler was as tough as a bull when he pinned down his opponent.,2 class
421,As tough as a mule,Very strong and stubborn,The child was as tough as a mule when he refused to give up on his homework.,2 class
422,As tough as a diamond,Very hard and unbreakable,The diamond was as tough as a diamond when it resisted scratches and damage.,2 class
423,As tough as a rock wall,Very hard and unyielding,The rock wall was as tough as a rock wall when the climber tried to scale it.,2 class
424,As tough as a battleship,Very strong and resilient,The ship was as tough as a battleship when it withstood the stormy seas.,2 class
425,As tough as a bamboo stalk,Very strong and flexible,The bamboo stalk was as tough as a bamboo stalk when it swayed in the wind.,2 class
426,As tough as a turtle shell,Very hard and protective,The turtle shell was as tough as a turtle shell when it shielded the turtle from danger.,2 class
427,As tough as a knight's armor,Very strong and protective,The armor was as tough as a knight's armor when it shielded him from enemy attacks.,2 class
428,As easy as pie,Very easy or simple,The math problem was as easy as pie when the child solved it quickly.,2 class
429,As easy as ABC,Very easy or simple,The spelling test was as easy as ABC when the child knew all the words.,2 class
430,As easy as falling off a log,Very easy or simple,Riding a bike was as easy as falling off a log when the child had practiced enough.,2 class
431,As easy as 1-2-3,Very easy or simple,Making a sandwich was as easy as 1-2-3 when the child followed the instructions.,2 class
432,As easy as shooting fish in a barrel,Very easy or simple,Catching fish was as easy as shooting fish in a barrel when the child used a net.,2 class
433,As easy as taking candy from a baby,Very easy or simple,Winning the game was as easy as taking candy from a baby when the child was very skilled.,2 class
434,As easy as flipping a switch,Very easy or simple,Turning on the light was as easy as flipping a switch when the child knew where it was.,2 class
435,As easy as opening a door,Very easy or simple,Finding the classroom was as easy as opening a door when the child followed the signs.,2 class
436,As easy as tying a shoelace,Very easy or simple,Dressing themselves was as easy as tying a shoelace when the child practiced enough.,2 class
437,As easy as breathing,Very easy or simple,Singing the song was as easy as breathing when the child knew the lyrics.,2 class
438,As easy as a walk in the park,Very easy or simple,Completing the assignment was as easy as a walk in the park when the child understood the material.,2 class
439,As easy as a snap of the fingers,Very easy or simple,Making a decision was as easy as a snap of the fingers when the child knew what they wanted.,2 class
440,As easy as a breeze,Very easy or simple,Finishing the project was as easy as a breeze when the child had planned it out.,2 class
441,As easy as rolling off a log,Very easy or simple,Riding a skateboard was as easy as rolling off a log when the child had enough balance.,2 class
442,As easy as falling into a chair,Very easy or simple,Sitting down was as easy as falling into a chair when the child was tired.,2 class
443,As easy as a cakewalk,Very easy or simple,Memorizing the poem was as easy as a cakewalk when the child practiced it enough.,2 class
444,As easy as a feather,Very easy or simple,Picking up the toy was as easy as a feather when the child used their fingers.,2 class
445,As easy as a light bulb,Very easy or simple,Understanding the concept was as easy as a light bulb when the child made the connection.,2 class
446,As easy as a hug,Very easy or simple,Making a friend was as easy as a hug when the child was friendly.,2 class
447,As easy as a wink,Very easy or simple,Reading the book was as easy as a wink when the child was interested.,2 class
448,As easy as a breeze through an open window,Very easy or simple,Getting an A on the test was as easy as a breeze through an open window when the child studied hard.,2 class
449,As easy as a turn of the key,Very easy or simple,Starting the car was as easy as a turn of the key when the child had the right technique.,2 class
450,As regal as a king,"Majestic and grand, like a king",The lion looked as regal as a king as it surveyed its domain.,2 class
451,As proud as a king,"Very proud and confident, like a king",The child felt as proud as a king when they won the race.,2 class
452,As powerful as a king,"Very powerful and influential, like a king",The leader of the country felt as powerful as a king when making important decisions.,2 class
453,As wise as a king,"Very wise and knowledgeable, like a king",The teacher was as wise as a king when they explained difficult concepts.,2 class
454,As rich as a king,"Very wealthy and affluent, like a king",The businessman felt as rich as a king when he made a successful deal.,2 class
455,As generous as a king,"Very generous and giving, like a king",The philanthropist was as generous as a king when they donated to charity.,2 class
456,As just as a king,"Very fair and impartial, like a king",The judge was as just as a king when they made a ruling in court.,2 class
457,As brave as a king,"Very brave and fearless, like a king",The soldier was as brave as a king when they faced danger in battle.,2 class
458,As noble as a king,"Very noble and honorable, like a king",The knight was as noble as a king when they protected the weak.,2 class
459,As charismatic as a king,"Very charismatic and charming, like a king",The politician was as charismatic as a king when they gave speeches.,2 class
460,As respected as a king,"Very respected and admired, like a king",The elder was as respected as a king when they shared their wisdom.,2 class
461,As dignified as a king,"Very dignified and composed, like a king",The diplomat was as dignified as a king when they represented their country.,2 class
462,As commanding as a king,"Very commanding and authoritative, like a king",The coach was as commanding as a king when they directed their team.,2 class
463,As visionary as a king,"Very visionary and forward-thinking, like a king",The inventor was as visionary as a king when they created new technologies.,2 class
464,As strategic as a king,"Very strategic and tactical, like a king",The general was as strategic as a king when they planned military operations.,2 class
465,As disciplined as a king,"Very disciplined and self-controlled, like a king",The martial artist was as disciplined as a king when they practiced their techniques.,2 class
466,As confident as a king,"Very confident and self-assured, like a king",The performer was as confident as a king when they took the stage.,2 class
467,As imposing as a king,"Very imposing and impressive, like a king",The statue was as imposing as a king when it stood tall in the square.,2 class
468,As royal as a king,"Very royal and elegant, like a king",The queen was as royal as a king when she attended formal events.,2 class
469,As imperious as a king,"Very imperious and domineering, like a king",The dictator was as imperious as a king when they oppressed their people.,2 class
470,As autocratic as a king,"Very autocratic and dictatorial, like a king",The despot was as autocratic as a king when they ruled with an iron fist.,2 class
471,As tyrannical as a king,"Very tyrannical and oppressive, like a king",The monarch was as tyrannical as a king when they abused their power.,2 class
