id,word,word_definition,antonyms,synonyms,example,relevance
2584,Impression,A feeling or opinion about something or someone,"Certainty, fact, reality, truth","Perception, notion, idea, thought",Her first impression of the city was that it was vibrant.,4 class
2585,Improve,To make better or enhance,"Worsen, deteriorate, decline, degrade","Enhance, better, upgrade, refine",She decided to take a course to improve her English skills.,4 class
2586,Incline,To lean or bend towards something,"Straighten, level, flatten, balance","Lean, slant, slope, tilt",The roof was inclined to prevent water from pooling.,4 class
2587,Inconsistent,Not in agreement or harmony,"Consistent, reliable, steady, dependable","Conflicting, contradictory, irregular, unreliable",His statements were inconsistent with the evidence.,4 class
2588,Joke,Something said or done to provoke laughter,"Seriousness, solemnity","Jest, gag, prank",The comedian told a funny joke that made everyone laugh.,4 class
2589,Jump,To move off the ground by pushing with the legs,"Stand, still, remain","Hop, leap, bound",The athlete can jump very high.,4 class
2590,Jacket,A short coat,"Shirt, blouse, sweater","Coat, blazer, parka",He wore a jacket to keep warm on the chilly day.,4 class
2591,Jungle,"A dense forest in a hot, humid region","City, suburb, town","Rainforest, wilderness, thicket",The explorers had to hack their way through the thick jungle.,4 class
2592,Joy,A feeling of great pleasure or happiness,"Sorrow, sadness, misery","Delight, elation, happiness",I felt so much joy when I saw my family after being away for so long.,4 class
2593,Jelly,"A sweet, soft, semisolid food","Bread, crackers, cheese","Jam, preserve, marmalade",She spread jelly on her toast for breakfast.,4 class
2594,Jolly,Cheerful and happy,"Sad, gloomy, miserable","Merry, jovial, gleeful",He was in a jolly mood and sang loudly on his way to school.,4 class
2595,Juggle,To keep several objects in motion at once by throwing and catching them,"Drop, fumble, mishandle","Balance, handle, manage",The circus performer can juggle three balls at once.,4 class
2596,Jet,A high-speed aircraft that flies by using jet engines,"Helicopter, blimp, glider","Plane, airplane, aircraft","We saw a jet flying overhead, leaving a trail of white clouds behind it.",4 class
2597,Jog,"To run at a slow, steady pace","Walk, crawl, stumble","Run, trot, lope",She likes to jog in the park before starting her day.,4 class
2598,Pain,A feeling of discomfort or suffering,"Pleasure, comfort, ease, relief","Agony, suffering, ache, hurt",She felt a sharp pain in her ankle.,4 class
2599,Parent,A mother or father,"Child, offspring, dependent, minor","Mother, father, caregiver, guardian",Her parents were proud of her accomplishments.,4 class
2600,Participate,To take part in an activity or event,"Abstain, avoid, refrain, sit out","Join, engage, involve, participate in",He decided to participate in the school play.,4 class
2601,Party,A social gathering or celebration,"Funeral, mourning, wake, lamentation","Celebration, event, gathering, festivity",She hosted a birthday party for her friend.,4 class
2602,Pass,To go by or move beyond,"Stop, remain, stay, halt","Go by, move past, overtake, bypass",We had to pass through the security checkpoint.,4 class
2603,Patient,A person receiving medical treatment or care,"Doctor, caregiver, provider, practitioner","Client, recipient, sufferer, invalid",The patient was recovering well after the surgery.,4 class
2604,Peace,A state of calm or tranquility,"Conflict, turmoil, chaos, disturbance","Serenity, harmony, quiet, calmness",The peaceful atmosphere was disrupted by a loud noise.,4 class
2605,People,A group of individuals living in a community,"Individual, person, singular, solo","Population, society, community, group",The people of the town were friendly and welcoming.,4 class
2606,Performance,The manner in which something is executed or accomplished,"Failure, defeat, underachievement, disappointment","Achievement, execution, accomplishment, success",His performance in the play was outstanding.,4 class
2607,Permit,To allow or give permission to,"Forbid, prohibit, ban, disallow","Allow, authorize, sanction, enable",The teacher permitted the students to work in groups.,4 class
2608,Personal,Relating to a particular person or individual,"Public, shared, communal, collective","Individual, private, intimate, individualized",The gift was a personal present from her best friend.,4 class
2609,Perspective,A particular point of view or way of looking at something,"Misunderstanding, misinterpretation, misconception, confusion","Viewpoint, angle, standpoint, interpretation",His perspective on the issue was different from hers.,4 class
2610,Pet,An animal kept for companionship or pleasure,"Wild animal, livestock, working animal, service animal","Companion animal, domestic animal, house pet, animal friend",Her pet cat was a constant source of comfort for her.,4 class
2611,Physical,Relating to the body or physical sensations,"Mental, emotional, psychological, spiritual","Bodily, corporeal, tangible, concrete",She experienced physical pain after her accident.,4 class
2612,Picture,"A representation of a person, object, or scene in a visual form","Reality, actuality, truth, fact","Image, photograph, portrait, painting",The picture on the wall was painted by her grandmother.,4 class
2613,Plan,A detailed proposal for achieving something,"Improvisation, spontaneity, impromptu, ad hoc","Strategy, blueprint, scheme, program",She made a plan to study for her exams.,4 class
2614,Play,Engaging in an activity for enjoyment or recreation,"Work, duty, obligation, responsibility","Game, sport, entertainment, recreation",The children were playing in the park.,4 class
2615,Radio,A device for transmitting and receiving radio waves,"Television, phone, computer, tablet","Wireless, transmitter, receiver, radio set",She listened to the news on the radio.,4 class
2616,Rain,Moisture falling from the sky in drops,"Drought, aridity, dryness, scarcity","Precipitation, drizzle, shower, storm",It started to rain on our picnic.,4 class
2617,Raise,To lift or elevate to a higher position,"Lower, lower down, depress, demote","Lift, elevate, hoist, upraise",He raised his hand to ask a question.,4 class
2618,Read,To look at and comprehend the meaning of written or printed matter,"Ignore, neglect, overlook, skip","Peruse, study, examine, scrutinize",She loved to read books in her free time.,4 class
2619,Realize,To become aware of or understand something,"Misunderstand, misapprehend, misconceive, misinterpret","Recognize, comprehend, apprehend, grasp",She realized her mistake and apologized.,4 class
2620,Receive,To be given or presented with something,"Refuse, reject, decline, deny","Get, accept, take, acquire",She received a gift from her friend.,4 class
2621,Recipe,A set of instructions for preparing a particular dish or meal,"Improvisation, experimentation, guesswork, winging it","Cooking instructions, formula, prescription, method",She followed a recipe to make a cake.,4 class
2622,Record,A written or electronic account of something,"Erase, delete, omit, remove","Log, document, report, register",She kept a record of her daily expenses.,4 class
2623,Red,A color at the end of the spectrum next to orange and opposite violet,"Blue, green, yellow, purple","Scarlet, crimson, ruby, burgundy",She wore a red dress to the party.,4 class
2624,Refresh,To give new strength or energy to something,"Drain, exhaust, wear out, tire","Revitalize, rejuvenate, invigorate, reenergize",She took a break to refresh her mind.,4 class
2625,Refrigerator,An appliance used for storing food at low temperatures,"Oven, stove, microwave, dishwasher","Fridge, cooler, icebox, chiller",She put the leftovers in the refrigerator.,4 class
2626,Regular,Occurring or happening at fixed intervals,"Irregular, random, sporadic, occasional","Routine, consistent, habitual, customary",She went to the gym on a regular basis.,4 class
2627,Relationship,The way in which two or more people or things are connected,"Disconnection, detachment, separation, isolation","Connection, association, link, bond",She had a close relationship with her sister.,4 class
2628,Relax,To become less tense or anxious,"Tense, anxious, stressed, uptight","Unwind, chill out, decompress, loosen up",She liked to relax by taking a hot bath.,4 class
2629,Release,To set free or allow to escape,"Detain, confine, restrain, imprison","Free, liberate, discharge, let go",He was released from jail after serving his sentence.,4 class
2630,Reliable,Able to be trusted or depended on,"Unreliable, undependable, inconsistent, irresponsible","Trustworthy, dependable, consistent, responsible",She was a reliable employee who always met her deadlines.,4 class
2631,Quarter,One of four equal parts of something,"Whole, entire, complete, total","Fourth, quadrant, division, section",She ate a quarter of the pizza.,4 class
2632,Queen,A female ruler of a country or kingdom,"Subject, follower, citizen, commoner","Monarch, ruler, leader, sovereign",Queen Elizabeth II is the current monarch of England.,4 class
2633,Question,A sentence worded or expressed so as to elicit information,"Answer, response, solution, resolution","Inquiry, query, interrogation, inquiry",She asked a question in class.,4 class
2634,Quiet,Making little or no noise,"Noisy, loud, boisterous, chaotic","Silent, calm, hushed, peaceful",The library is a quiet place to study.,4 class
2635,Quilt,A warm bed covering made of padding enclosed between layers of fabric,"Uncover, expose, unveil, reveal","Coverlet, comforter, duvet, blanket",She snuggled under her quilt to stay warm.,4 class
2636,Quiz,"A test of knowledge, especially a brief, informal one","Ignorance, stupidity, dullness, ineptitude","Examination, test, assessment, evaluation",She studied for the quiz on Friday.,4 class
2637,Quack,A person who dishonestly claims to have special knowledge and skill in some field,"Expert, professional, specialist, authority","Fraud, charlatan, impostor, deceiver",He realized the doctor was a quack and went to a real doctor instead.,4 class
2638,Quadrilateral,A four-sided figure,"Triangle, circle, oval, pentagon","Rectangle, square, parallelogram, trapezoid",She learned about quadrilaterals in geometry class.,4 class
2639,Quaint,Attractively old-fashioned or unusual,"Modern, contemporary, new, current","Charming, picturesque, antiquated, vintage",The town had a quaint main street with old-fashioned shops.,4 class
2640,Quench,To satisfy or extinguish (a thirst or desire),"Aggravate, intensify, worsen, inflame","Satisfy, relieve, satiate, appease",She drank water to quench her thirst.,4 class
2641,Quiver,To tremble or shake with a slight rapid motion,"Steady, still, motionless, calm","Shake, shiver, tremble, vibrate",The leaves on the tree quivered in the wind.,4 class
2642,Quota,A limited or fixed number or amount of something,"Limitless, unlimited, boundless, infinite","Allocation, allowance, portion, share",She met her sales quota for the month.,4 class
2643,Quackery,The promotion of fraudulent or ignorant medical practices,"Legitimacy, authenticity, veracity, credibility","Charlatanism, fraud, deception, imposture",The government warned people about the dangers of quackery in medicine.,4 class
2644,Quip,A witty or sarcastic remark,"Compliment, praise, admiration, flattery","Joke, jest, wisecrack, pun",He made a clever quip in response to her comment.,4 class
2645,Sad,Feeling unhappy or sorrowful,"Happy, joyful, elated, delighted","Unhappy, sorrowful, miserable, dejected",She felt sad after her best friend moved away.,4 class
2646,Safe,Protected from harm or danger,"Unsafe, dangerous, risky, perilous","Secure, protected, out of danger, unharmed",She felt safe in her home with her parents.,4 class
2647,Sail,A piece of material extended on a mast to catch the wind and propel a boat or ship,"Anchor, dock, moor, tie up","Canvas, sheet, flag, wing",The ship's sail caught the wind and propelled it forward.,4 class
2648,Salt,A white crystalline substance used for seasoning or preserving food,"Sweet, bland, unsalted, sugar","Sodium chloride, table salt, rock salt, sea salt",She added a pinch of salt to the soup for flavor.,4 class
2649,Same,Identical or not different,"Different, dissimilar, unlike, diverse","Equal, matching, alike, similar",She and her twin sister looked the same.,4 class
2650,Sand,"A granular material made of small rock particles, usually found on beaches or deserts","Rock, boulder, pebble, cobblestone","Grains, dust, grit, powder",She built a sandcastle on the beach.,4 class
2651,Say,To utter or express in words,"Silence, mute, hush, still","Speak, state, declare, articulate",She didn't know what to say when she saw her crush.,4 class
2652,Scare,To cause to feel frightened or alarmed,"Calm, soothe, reassure, comfort","Frighten, alarm, terrify, startle",The horror movie scared her so much she couldn't sleep.,4 class
2653,School,An institution for educating children or students,"Ignorance, illiteracy, uneducated, uninformed","Educational institution, academy, college, university",She loved going to school to see her friends and learn new things.,4 class
2654,Science,The study of the natural world and its phenomena,"Fiction, fantasy, superstition, pseudoscience","Biology, physics, chemistry, geology",She wanted to be a scientist when she grew up.,4 class
2655,Scissors,"A tool used for cutting paper, fabric, or hair, with two blades pivoted together","Unsharpened, dull, blunt, unpointed","Shears, clippers, snips, cutters",She used scissors to cut her hair.,4 class
2656,Screen,"A flat surface on which images or text are displayed, often used to show movies or presentations","Hide, conceal, veil, cover","Monitor, display, TV, projector",She watched the movie on the big screen.,4 class
2657,Sea,The expanse of saltwater that covers most of the Earth's surface,"Land, shore, beach, coast","Ocean, brine, saltwater, deep",She loved going to the beach and swimming in the sea.,4 class
2658,Search,To look for something or someone carefully,"Ignore, overlook, disregard, neglect","Hunt, seek, explore, comb",She searched for her lost keys in her purse.,4 class
2659,Season,A period of the year characterized by particular weather conditions or activities,"Off-season, non-seasonal, offseason, out of season","Winter, spring, summer, autumn",She loved the fall season because of the changing colors of the leaves.,4 class
2660,Umbrella,"A device used to protect against rain or sunlight, consisting of a collapsible canopy on a metal frame",None,"Parasol, brolly, sunshade, shade",She used her umbrella to shield herself from the rain.,4 class
2661,Uncle,The brother of one's parent,"Aunt, niece, nephew, niece-in-law","Relative, kin, family member, kinsman",She visited her uncle every weekend to help him with his garden.,4 class
2662,Uniform,A set of standardized clothing worn by members of an organization,"Casual wear, street clothes, civilian clothing","Outfit, costume, attire, dress",The soldiers wore their uniforms to the parade.,4 class
2663,Unit,"A single entity, typically a part of a larger whole","Entirety, whole, aggregate, total","Element, component, part, piece",She measured the length of the book in units of inches.,4 class
2664,University,An institution of higher education where students can earn degrees,None,"College, school, academy, institute",She wanted to go to university to study science.,4 class
2665,Up,Moving or situated in a higher position or level,"Low, down, below, underneath","High, above, aloft, elevated",She climbed up the tree to retrieve her lost kite.,4 class
2666,Use,To put something to its intended purpose,"Misuse, abuse, waste, neglect","Employ, utilize, apply, make use of",She used her new computer to write a report.,4 class
2667,Useful,Able to be used for a practical purpose,"Useless, unhelpful, valueless, pointless","Functional, helpful, valuable, beneficial",Her phone was a useful tool for staying connected with friends.,4 class
2668,Usually,Most of the time or in most cases,"Rarely, seldom, infrequently, occasionally","Commonly, typically, normally, ordinarily",She usually woke up at 7 am to go to school.,4 class
2669,Vacation,A period of time spent away from work or school for rest or recreation,"Work, school, labor, duty","Break, holiday, leave, time off",She went on vacation to the beach with her family.,4 class
2670,Vacuum,"A space entirely devoid of matter, or a device that sucks up dust and dirt","Fullness, abundance, saturation, plethora","Emptiness, void, emptiness, vacuum cleaner",She used a vacuum to clean her room.,4 class
2671,Valuable,Having worth or usefulness,"Worthless, valueless, cheap, worthless","Precious, priceless, valuable, dear",Her grandmother gave her a valuable necklace for her birthday.,4 class
2672,Vegetable,"A plant or part of a plant used as food, such as a carrot or broccoli","Meat, dairy, fish, poultry","Veggie, greens, produce, root",She ate a lot of vegetables for a healthy diet.,4 class
2673,Vehicle,"A machine used for transportation, such as a car or bicycle","Pedestrian, walker, hiker, bicyclist","Car, truck, bike, motorcycle",She rode her bicycle to the park.,4 class
2674,Very,Used to emphasize the degree or intensity of something,"Moderately, slightly, hardly, barely","Extremely, highly, exceedingly, truly",She was very excited to go to the concert.,4 class
2675,Vest,A sleeveless garment worn on the upper body,"Jacket, coat, blouse, shirt","Tank top, undershirt, waistcoat, singlet",She wore a vest to stay cool in the hot weather.,4 class
2676,Zeal,Enthusiastic and diligent pursuit of a cause or objective,"Apathy, indifference, lethargy, laziness","Passion, ardor, fervor, enthusiasm",She showed great zeal in her studies.,4 class
2677,Zenith,The highest point or peak of something,"Nadir, bottom, trough, base","Apex, pinnacle, summit, acme",The sun reached its zenith at noon.,4 class
2678,Zigzag,A pattern or line with a series of sharp turns in alternating directions,"Straight, direct, linear, level","Crisscross, meander, snaking, winding",The road went in a zigzag pattern up the mountain.,4 class
2679,Zipper,A fastener consisting of two parallel rows of metal or plastic teeth that can be pulled together or apart by a sliding tab,"Button, snap, hook, clasp","Closure, fastener, zip, fly",She zipped up her jacket to stay warm.,4 class
2680,Zany,Amusingly unconventional or eccentric,"Serious, normal, conventional, typical","Wacky, goofy, silly, absurd",She wore a zany hat to the party.,4 class
2681,Zest,Great enthusiasm and energy,"Apathy, lethargy, indifference, boredom","Gusto, zeal, vigor, excitement",She approached her work with zest and determination.,4 class
2682,Zero,"The numerical symbol 0, or having no quantity or value","One, some, many, several","Nil, nada, none, blank",She scored a zero on the math test.,4 class
2683,Zillion,An extremely large number,"Few, limited, several, handful","Countless, myriad, countless, infinite",She had a zillion things to do before the party.,4 class
2684,Zinc,A bluish-white metallic element used for galvanizing iron and other purposes,"Plastic, rubber, glass, ceramic","Alloy, metal, element, plating",She took a zinc supplement for her immune system.,4 class
2685,Zesty,Having a strong and pleasant flavor or aroma,"Bland, tasteless, flavorless, insipid","Spicy, tangy, piquant, flavorful",She enjoyed the zesty taste of the salsa.,4 class
2686,Zig,To move in a zigzag pattern,"Straighten, level, direct, flatten","Crisscross, meander, snake, wind",She zigged and zagged through the obstacle course.,4 class
2687,Zestful,Full of energy and enthusiasm,"Lethargic, sluggish, tired, dull","Energetic, lively, animated, dynamic",She was a zestful dancer on stage.,4 class
2688,Zebra,An African wild horse with black and white stripes,"Lion, leopard, hyena, predator","Equine, donkey, ass, mare",She saw a zebra at the zoo.,4 class
2689,Zanyism,The quality of being zany or unconventional,"Normality, conformity, conventionality, conservatism","Eccentricity, quirkiness, whimsicality, oddity",Her zanyism made her stand out in the crowd.,4 class
2690,Zonal,Relating to or divided into zones,"Nonregional, nondivisional, nonterritorial, nonsectional","Regional, divisional, territorial, sectional",She studied the zonal differences in climate.,4 class
2691,Although,Despite the fact that; however,"Because, since, therefore, thus","Even though, though, albeit, notwithstanding","Although it was raining, she still went for a walk.",4 class
2692,And,Used to connect words or phrases that are similar or related,"But, yet, however, although","Also, as well as, in addition to, plus",She ate pizza and drank soda for dinner.,4 class
2693,As,Used to indicate the way or manner in which something happens or is done,"Unlike, dissimilar to, different from, as if","Like, similar to, in the same way as, just as","As he walked down the street, he whistled a tune.",4 class
2694,Because,Used to give a reason or explanation for something,"Although, despite, even though, nevertheless","Since, as, for the reason that, in that",She didn't go to the party because she was feeling sick.,4 class
2695,But,Used to introduce something that contrasts with what has been said or implied,"And, also, in addition, furthermore","However, nevertheless, yet, still","She wanted to go to the beach, but it was too cold outside.",4 class
2696,Either...or,Used to express a choice between two alternatives,"Both...and, not...but, rather...than, although","Whether...or, neither...nor, not only...but also, or",You can either eat pizza or burgers for dinner.,4 class
2697,Even though,Despite the fact that; although,"Because, since, therefore, thus","Although, though, despite, notwithstanding","Even though it was late, she stayed up to finish her homework.",4 class
2698,For,Used to indicate the purpose or reason for something,"Although, despite, even though, nevertheless","Because, since, as, in order that",She went to the store for milk and bread.,4 class
2699,If,Used to introduce a conditional clause,"Unless, except, without, but for","Provided that, on the condition that, assuming that, supposing that","If it rains, we'll stay inside.",4 class
2700,In order to,Used to indicate the purpose or goal of an action,"Despite, in spite of, although, nevertheless","So that, for the purpose of, with the aim of, for the sake of",She studied hard in order to get a good grade.,4 class
2701,Neither...nor,Used to express a negative choice between two alternatives,"Both...and, not...but, rather...than, although","Either...or, whether...or, not only...but also, or",She neither likes pizza nor burgers for dinner.,4 class
2702,Or,Used to introduce a choice between two or more alternatives,"Both...and, not...but, rather...than, although","Either...or, whether...or, neither...nor, not only...but also",Would you like pizza or burgers for dinner?,4 class
2703,Provided that,On the condition that; as long as,"Unless, except, without, but for","If, assuming that, supposing that, in case",She will go to the party provided that her friends are going too.,4 class
2704,Rather than,Instead of; in preference to,"In addition to, along with, together with, as well as","In place of, as an alternative to, in lieu of, in favor of",She decided to walk to work rather than drive.,4 class
2705,Angry,Feeling or showing anger or strong resentment,"Happy, Calm, Content, Pleased","Furious, Irritated, Enraged, Mad",Sarah was very angry when she found out someone had stolen her lunch.,4 class
2706,Beautiful,Pleasing to the senses or mind,"Ugly, Unattractive, Repulsive, Hideous","Attractive, Lovely, Gorgeous, Stunning",The sunset over the ocean was a beautiful sight to see.,4 class
2707,Clever,Mentally quick and resourceful,"Stupid, Dumb, Slow-witted, Unintelligent","Intelligent, Smart, Astute, Shrewd",Tom is a clever boy who can solve difficult puzzles quickly.,4 class
2708,Daring,Willing to take risks; adventurous,"Timid, Cowardly, Fearful, Scared","Brave, Courageous, Bold, Fearless",The daring acrobat performed a dangerous stunt on the high wire.,4 class
2709,Enormous,"Very large in size, quantity, or extent","Small, Tiny, Little, Miniscule","Huge, Gigantic, Massive, Immense",The enormous elephant towered over the other animals at the zoo.,4 class
2710,Friendly,Kind and pleasant,"Hostile, Unfriendly, Aloof, Unapproachable","Amicable, Affable, Cordial, Sociable",The new student was friendly and quickly made friends with everyone in the class.,4 class
2711,Gentle,Kind and mild in temperament,"Harsh, Rough, Violent, Brutal","Tender, Calm, Soft, Mild",The gentle breeze blew through the trees on a warm summer day.,4 class
2712,Happy,Feeling or showing pleasure or contentment,"Sad, Unhappy, Depressed, Miserable","Joyful, Delighted, Ecstatic, Glad",Sarah was happy to receive a letter from her best friend who had moved away.,4 class
2713,Interesting,Engaging or appealing to one's curiosity or interest,"Boring, Uninteresting, Tedious, Dull","Fascinating, Intriguing, Compelling, Absorbing",The museum had many interesting exhibits that told the history of the town.,4 class
2714,Jolly,Cheerful and friendly,"Sad, Gloomy, Miserable, Depressed","Merry, Happy, Joyful, Lively",The jolly man in the red suit gave presents to all the children.,4 class
2715,Kind,"Having or showing a friendly, generous, and considerate nature","Cruel, Mean, Unkind, Inconsiderate","Benevolent, Compassionate, Gracious, Sympathetic",The kind teacher helped the student who was struggling with the difficult math problem.,4 class
2716,Loud,Producing or capable of producing much noise,"Quiet, Silent, Hushed, Subdued","Noisy, Boisterous, Raucous, Thunderous",The loud music from the party next door kept her awake all night.,4 class
2717,Moody,Temperamental; prone to sudden changes in mood,"Cheerful, Optimistic, Happy, Positive","Sulky, Irritable, Pessimistic, Sullen",Mary was moody and sometimes difficult to get along with.,4 class
2718,Nervous,Easily agitated or worried,"Calm, Relaxed, Confident, Composed","Anxious, Apprehensive, Jittery, Uneasy",The nervous student had trouble concentrating during the test.,4 class
2719,I,Refers to oneself,"You, He, She, They","Me, Myself, Yours Truly, Number One",I am going to the park.,4 class
2720,You,Refers to the person being spoken to,"I, He, She, They","Thou, Thee, Yourself, Ye","Can you pass me the salt, please?",4 class
2721,He,Refers to a male person,"She, Her, They, We","Him, Himself, His Majesty, His Excellency",He is a great soccer player.,4 class
2722,She,Refers to a female person,"He, Him, They, We","Her, Herself, Queen, Her Highness",She is the captain of the team.,4 class
2723,It,Refers to an object or animal,"He, She, They, We","Thing, That, This, Creature",The cat is playing with a ball. It is so cute.,4 class
2724,We,Refers to the speaker and at least one other person,"You, He, She, They","Us, Ourselves, Our Team, Our Company",We are going to the movies.,4 class
2725,They,Refers to more than one person or thing,"You, He, She, We","Them, Themselves, Those Guys, The Team",They are playing in the park.,4 class
2726,Me,Refers to oneself as an object,"You, He, She, They","Myself, I, Yours Truly, The One and Only",Can you help me with this problem?,4 class
2727,Him,Refers to a male person as an object,"She, Her, They, We","He, Himself, His Majesty, His Excellency",I gave him the book.,4 class
2728,Her,Refers to a female person as an object,"He, Him, They, We","She, Herself, Queen, Her Highness",I gave her the flowers.,4 class
2729,Us,Refers to the speaker and at least one other person as objects,"You, He, She, They","We, Ourselves, Our Team, Our Company",Can you give us a hand?,4 class
2730,Them,Refers to more than one person or thing as objects,"You, He, She, We","They, Themselves, Those Guys, The Team",I saw them at the park.,4 class
2731,Mine,Refers to something that belongs to oneself,"Yours, His, Hers, Theirs","My Own, My Possession, My Property, My Belongings",This pencil is mine.,4 class
2732,Yours,Refers to something that belongs to the person being spoken to,"Mine, His, Hers, Theirs","Your Own, Your Possession, Your Property, Your Belongings",Is this book yours?,4 class
2733,His,Refers to something that belongs to a male person,"Mine, Yours, Hers, Theirs","His Own, His Possession, His Property, His Belongings",This is his jacket.,4 class
2734,Hers,Refers to something that belongs to a female person,"Mine, Yours, His, Theirs","Her Own, Her Possession, Her Property, Her Belongings",These are her shoes.,4 class
2735,Its,Refers to something that belongs to an object or animal,"His, Hers, Theirs, Ours","Thing's, That's, This's, Creature's",The tree lost its leaves.,4 class
30,Abundant,"plentiful, in large quantity or amount.","scarce, meager, limited, insufficien","ample, copious, bountiful, generous",The orchard was abundant with ripe apples.,5 class
31,Agility,the ability to move quickly and easily with grace and control.,"clumsiness, awkwardness, slowness, stiffness","nimbleness, dexterity, spryness, quickness",The athlete's agility helped him win the race.,5 class
32,Astounding,causing somebody to feel extremely surprised,"ordinary, usual, expected, predictable","astonishing, staggering, remarkable, incredible",The magician's tricks were astounding.,5 class
33,Comical ,causing laughter especially because of a startlingly or unexpectedly humorous impact,"serious, solemn, sad, dull","humorous, hilarious, amusing, droll","serious, solemn, sad, dull",5 class
34,Deft ,skillful and quick in one's movements or actions.,"clumsy, awkward, uncoordinated, inept","agile, adroit, nimble, dexterous",The chef was deft with his knife skills.,5 class
35,Diligent ,"hardworking, careful, and persistent in one's efforts.","lazy, careless, negligent, lackadaisical","industrious, assiduous, conscientious, thorough",The student was diligent in her studies.,5 class
36,Eloquent ,"able to use language and express your opinions well, especially when you speak in public","inarticulate, incoherent, unintelligible, mute","articulate, expressive, fluent, persuasive",The speaker gave an eloquent speech.,5 class
37,Fickle ,changing frequently and unpredictably.,"constant, steadfast, resolute, unwavering","capricious, erratic, mercurial, volatile",The weather is fickle during the spring season.,5 class
38,Gracious ,"courteous, kind, and pleasant.","rude, impolite, discourteous, unfriendly","polite, courteous, amiable, cordial",The hostess was gracious to her guests.,5 class
39,Hilarious ,extremely funny and amusing.,"serious, unfunny, solemn, depressing","uproarious, side-splitting, comical, laughable",The comedy show was hilarious.,5 class
40,Immaculate ,perfectly clean and tidy; free from flaws or mistakes.,"dirty, messy, flawed, imperfect","spotless, pristine, flawless, perfect",The hotel room was immaculate.,5 class
41,Inquisitive ,curious and eager to learn and know about things.,"uninterested, indifferent, apathetic, unconcerned","curious, inquiring, nosy, probing",The child was inquisitive about everything around him.,5 class
42,Jovial ,"cheerful, friendly, and good-humored.","gloomy, surly, sullen, morose","merry, jolly, convivial, genial",The jovial man always had a smile on his face.,5 class
43,Keen ,"sharp, intense, or enthusiastic.","dull, apathetic, indifferent, lethargic","acute, eager, enthusiastic, sharp.",The athlete had a keen sense of competition.,5 class
44,Endeavor,To try hard or make an effort to achieve something.,"Give up, abandon, forfeit, neglect","Attempt, strive, undertake, venture",She will endeavor to improve her grades this semester.,5 class
45,Exhilarating,"To make someone feel very happy, animated, or elated","Boring, dull, depressing, tedious","Thrilling, stimulating, exciting, invigorating",The roller coaster ride was exhilarating and left us screaming with joy.,5 class
46,Admire,"To regard with wonder, pleasure, or approval","Despise, Dislike, Criticize, Deplore","Appreciate, Applaud, Esteem, Respect",I admire the way you have decorated your room.,5 class
47,Analyze,To examine carefully and methodically,"Synthesize, Combine, Construct, Build","Scrutinize, Study, Investigate, Break down",Scientists analyze data to find patterns and draw conclusions.,5 class
48,Benefit,An advantage or profit gained from something,"Disadvantage, Loss, Drawback, Setback","Advantages, Gains, Perks, Privileges",Exercise benefits our health in many ways.,5 class
49,Calculate,To determine the amount or number of something by using mathematical methods,"Guess, Approximate, Conjecture, Speculate","Compute, Estimate, Figure, Reckon",He needed to calculate how much paint he would need to paint the entire house.,5 class
50,Challenge,A difficult task or problem that requires effort to overcome,"Advantage, Opportunity, Benefit, Advantageous","Difficulty, Obstacle, Hurdle, Barrier","Learning a new language can be a challenging task, but it's worth the effort.",5 class
51,Collaborate,To work together with others to achieve a common goal,"Compete, Disagree, Conflict, Oppose","Cooperate, Coordinate, Work together, Team up",The team members collaborated to create a successful project.,5 class
52,Community,A group of people who live in the same place or have a common interest,"Individual, Isolated, Alone, Solitary","Society, Neighborhood, Town, Cit",The members of the community worked together to clean up the park.,5 class
53,Compromise,An agreement or settlement of a dispute that is reached by each side making concessions,"Inflexibility, Stubbornness, Intransigence, Rigidity","Settlement, Agreement, Understanding, Accord",The two sides reached a compromise that satisfied both parties.,5 class
54,Confident,Feeling or showing belief in oneself and one's abilities,"Timid, Shy, Nervous, Doubtful","Self-assured, Positive, Certain, Assured",She felt confident that she would do well on the exam.,5 class
55,Contribute,"To give something, especially money or time, in order to help achieve or provide something","Withhold, Refrain, Keep, Retain","Donate, Give, Offer, Provide",He decided to contribute money to the charity to help those in need.,5 class
56,Creative,Having the ability to produce original and imaginative ideas,"Unimaginative, Dull, Boring, Trite","Inventive, Imaginative, Innovative, Original",The artist's creative work was admired by many.,5 class
57,Dedicate,To give oneself completely to a particular task or purpose,"Neglect, Abandon, Ignore, Disregard","Devote, Commit, Apply, Consecrate",He decided to dedicate himself to his studies.,5 class
58,Table,Furniture with a flat top and one or more legs for support.,"Chair, Sofa, Couch, Stool","Desk, Stand, Board, Counter",I put my books on the table.,5 class
59,Tasty,Having a pleasant flavor or taste.,"Unappetizing, Bland, Tasteless, Unpalatable","Delicious, Yummy, Savory, Tasteful",This pizza is very tasty.,5 class
60,Tall,Of great or more than average height.,"Short, Low, Small, Tiny","High, Elevated, Lofty, Towering",The giraffe is a tall animal.,5 class
61,Talk,To communicate by speaking or making sounds.,"Silence, Quiet, Mute, Hush","Speak, Chat, Converse, Communicate",Let's talk about our vacation.,5 class
62,Teacher,"A person who teaches or instructs, especially in a school.","Student, Pupil, Learner, Novice","Educator, Instructor, Professor, Tutor",My teacher is very kind.,5 class
